names,B1_20-9,B5_20-9,L_20-9,loc_B5_20-9,B1_B5_angle_20-9,B1_25-1,Frequency_Stretch_5_4,Amplitude_Stretch_5_4,cross,cross_angle,para,para_angle,Frequency_Bending_22-23,Cross_mag_Bending_22-23,total_dipole_5-1-25,dipole_x_10-11-12,dipole_y_10-11-12,dipole_z_10-11-12,total_dipole_10-11-12,hirshfeld_atom_12,cm5_atom_5,cm5_atom_12,B1_11-6,B5_11-6,L_11-6,bond_length_12-14,cone_angle,bite_angle,bite_angle_inverted,buried_volume,HOMO-LUMO Gap (eV),dipole_x_base_symmetry,dipole_y_base_symmetry,dipole_z_base_symmetry,output,
LS1621,2.0515,5.3332,10.8341,8.0087,116.1072,2.2414,1760.7244,1.54295679,1674.6111,39.22710273,1652.6065,53.79036144,3176.5085,0.34149672,10.7325,-10.18030263,-3.377346171,-0.374115251,10.7325,0.164793,-0.353321,0.397356,1.9574,7.3621,5.4352,1.973705975,283.2261841,75.80020674,50.29314224,0.33460096,5.959568714,-3.0938,-10.2555,0.6619,0.04739536,
LS1622,2.2723,5.386,11.2389,8.3986,159.8791,2.2435,1760.534,1.54407174,1688.819,7.836688306,1660.1501,84.34878701,3179.1136,0.337101261,10.0166,-9.997078114,-0.459817669,-0.424948302,10.0166,0.16509,-0.349665,0.396865,2.3398,7.3589,5.4389,1.973024528,283.2028752,75.65048229,50.34589537,0.333849702,5.674665356,-2.3588,-9.7275,-0.3813,0.26486515,
LS1630,2.019,5.3354,10.8676,0.9468,104.9554,2.241,1761.7898,1.5518918,1643.0843,30.85237382,1678.5785,60.14864076,3176.0039,0.333805707,12.2311,-11.8680405,-2.951193797,-0.197577049,12.2311,0.163014,-0.351706,0.394774,2.0843,7.3651,5.4272,1.97292658,283.0629449,75.63840712,50.26525648,0.333709933,5.716570912,9.3643,7.8637,0.2666,0,
LS1641,1.9658,5.6472,10.7196,7.739,134.7783,2.2504,1769.0579,1.55812304,1647.4172,29.77064402,1680.0379,59.70992488,3173.2922,0.364401221,11.2231,-9.141266521,-6.508607535,-0.178920404,11.2231,0.172918,-0.359136,0.396393,1.9926,7.4122,5.4308,1.980411791,289.9679737,75.0517333,52.65405327,0.3519556,5.713849772,-9.1537,-6.3386,1.4102,1.88180798,
LS1642,2.3239,7.9898,10.7108,-0.5895,122.6538,2.2471,1766.7681,1.575516,1642.4555,4.440005714,1667.7782,76.47677402,3171.0399,0.375880247,9.4256,-8.055488684,-4.859899254,-0.575514276,9.4256,0.178655,-0.35879,0.40131,2.9663,7.4027,5.43,1.978708872,289.5501406,74.68572783,52.73408835,0.400303997,5.742693856,1.164,8.9312,2.7784,1.88180798,
LS1643,1.9089,8.3153,10.7694,-2.5371,101.0012,2.251,1765.9922,1.5707171,1636.0736,4.780465727,1668.2129,76.34326535,3170.2738,0.397358906,9.7159,-7.4464409,-6.239694425,0.123980083,9.7159,0.175047,-0.359811,0.397066,2.0781,7.4734,5.3958,1.979471804,290.8089644,74.56544711,52.91291852,0.384801295,3.14427727,2.3224,9.1581,2.2659,2.3044476,
LS1661,1.8258,5.5654,10.7509,7.8017,138.1391,2.2484,1767.6795,1.5584171,1653.0726,10.34030311,1674.3443,76.47173517,3172.7158,0.366091532,9.9899,-8.829480178,-4.660438275,-0.346673362,9.9899,0.174022,-0.359614,0.397235,1.8882,7.4077,5.436,1.980426034,290.0908015,75.04809618,52.75365941,0.352182725,5.607181084,3.5439,9.2878,0.9885,0.02368819,2.3044476
LS1663,2.2862,5.9995,10.9605,7.1085,97.769,2.1941,1772.9641,1.5853261,1652.2832,3.849523179,1662.9231,89.45262742,3175.12,0.365280837,9.6444,-8.508090239,-4.437991385,-0.964796207,9.6444,0.171966,-0.373508,0.250657,2.3022,7.8022,5.3326,2.01328162,280.7098294,67.49592008,64.50531859,0.393734858,5.64772607,-4.8773,8.2113,-1.3419,1.74347858,
LS1685,2.5489,9.1784,11.8645,5.3602,113.8499,2.2554,1701.756,1.11220282,1691.055,9.946128416,1645.4481,82.44835638,3145.6802,0.228912167,13.2631,-13.24504577,-0.005063845,0.691117148,13.2631,0.17096,-0.344493,0.390213,2.9057,7.8136,8.7332,1.973434059,275.5580607,74.42387544,48.78078611,0.344373136,5.4694914,-12.549,-2.6233,3.3985,1.74347858,
LS1687,2.9483,7.8796,11.2346,5.6936,102.9073,2.4145,1705.9794,1.15326512,1675.3979,32.98383825,1643.1653,54.57366512,3156.6866,0.274509089,13.3973,-12.42006841,-5.018041408,0.221882103,13.3973,0.166376,-0.336342,0.388345,3.0604,7.6856,8.3374,1.974004892,281.2441037,75.08093974,49.260802,0.338223304,5.388401428,-13.1068,2.2426,1.6342,1.53164576,
