combination,r2,q2,mae,rmsd,threshold,model
"('B1_20-9', 'B5_20-9', 'total_dipole_10-11-12', 'bite_angle_inverted')",0.44316179744255313,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'total_dipole_10-11-12', 'buried_volume')",0.5667954459153898,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'total_dipole_10-11-12', 'HOMO-LUMO Gap (eV)')",0.5025339490315468,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'total_dipole_10-11-12', 'dipole_x_base_symmetry')",0.468045230345544,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'total_dipole_10-11-12', 'dipole_y_base_symmetry')",0.3873024470434575,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'total_dipole_10-11-12', 'dipole_z_base_symmetry')",0.4251095532865864,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'cm5_atom_5')",0.6079440652601471,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'cm5_atom_12')",0.5764787387121088,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'B1_11-6')",0.5878558497103621,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'B5_11-6')",0.6148005915732044,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'L_11-6')",0.5958795503579588,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'bond_length_12-14')",0.580165856260521,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'cone_angle')",0.5736474921594293,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'bite_angle')",0.6195228783798614,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'bite_angle_inverted')",0.5806032531184029,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'buried_volume')",0.5806503172969335,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'HOMO-LUMO Gap (eV)')",0.7057974601077163,0.466622080335341,0.4745721147479938,0.5799917903375256,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'dipole_x_base_symmetry')",0.604042303062215,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'dipole_y_base_symmetry')",0.583973653540648,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'hirshfeld_atom_12', 'dipole_z_base_symmetry')",0.5784466964744273,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'cm5_atom_12')",0.3162009908377649,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'B1_11-6')",0.310794138652711,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
