,"('Frequency',)_Stretch_12_15","('Amplitude',)_Stretch_12_15",dipole_x_5-7-10,dipole_y_5-7-10,dipole_z_5-7-10,total_dipole_5-7-10,atom_4_charge,atom_2_charge,atom_5_charge,diff_10-14_charge,B1_2-5,B5_2-5,L_2-5,loc_B1_2-5,loc_B5_2-5,bond_length_8-12,bond_length_6-5,"angle_[2, 5, 7]",aniso,iso
p_Br,,,0.9843164342762444,-3.602968394966839,-3.6441527688274786,5.2182,-0.51524,-0.61695,0.2503,-0.14511,1.7,3.27,5.99,3.21,4.13,1.3838487955340353,1.3899876907692386,120.0045753244399,167.797,919.771
p_I,,,1.1012911195680346,-3.5020002540418176,-3.671545251771644,5.1921,-0.51544,-0.61687,0.25054,-0.11096999999999999,1.7,3.27,5.99,3.21,4.12,1.3853280139180035,1.3898410524232618,120.03696212356843,179.99499999999998,106.806
basic,,,3.5084012729078924,-2.5058910012816753,-3.1033444647606423,5.3122,-0.51491,-0.61788,0.24869,0.006699999999999984,1.7,3.28,6.48,5.32,4.11,1.3862956249696525,1.390567554015626,119.78123031779582,144.75,593.828
m_Br,,,0.9051634834153736,-1.9091788772023335,-3.6021740890181233,4.1761,-0.51553,-0.61644,0.25159,0.16103,1.7,3.25,6.49,3.21,4.13,1.3836156272704498,1.390271252290358,120.0252143224582,167.296,884.733
m_Cl,,,1.0532439189130989,-1.9395072875635013,-3.5743039407266957,4.2008,-0.51571,-0.61655,0.25128,0.18589,1.72,4.42,6.48,3.9,4.47,1.3838529526672982,1.3897176953629828,119.98323250678632,158.957,796.684
m_F,,,1.3294649076713263,-1.9340888908300482,-3.566149992069857,4.2691,-0.5166,-0.61662,0.25141,0.67528,1.7,3.79,6.49,3.21,4.27,1.3792224937735753,1.3901374869947216,119.98074316148382,145.049,633.5920000000001
m_I,,,1.3863925937199664,-1.9482795753468851,-3.442134041550981,4.1911,-0.51516,-0.61649,0.25148,0.12577,1.71,3.26,6.48,6.0,4.12,1.3848898533204728,1.3907044032870535,119.95757538527516,179.167,992.483
m_nitro,,,-2.6074694769969344,-0.8395188449653674,-3.9304824401193166,4.7909,-0.51695,-0.6153,0.25351,0.1954,1.7,4.97,7.07,3.21,3.7,1.3810243266115916,1.387923506727226,120.15671883752196,162.209,849.503
o_Br,,,-0.029269393323447367,-1.2953525896309932,-4.524408604803068,4.7063,-0.52563,-0.61569,0.25211,-0.03617000000000001,1.7,3.25,6.5,3.21,4.14,1.386012349575934,1.394249948107225,120.97139172830556,165.91500000000002,802.7579999999999
o_Cl,,,0.07293080506418496,-1.3661970155079528,-4.520755020588203,4.7232,-0.52463,-0.61594,0.25159,-0.027210000000000012,1.7,4.47,6.5,3.21,1.39,1.3856641992192769,1.3944460890296195,121.39939339903201,158.024,765.328
o_F,,,1.9803197838950917,-1.3119545500741303,-3.9908551782375543,4.6443,-0.52033,-0.61648,0.25196,-0.08278000000000002,1.7,3.82,6.49,3.21,1.55,1.3859154455838925,1.3864072945011507,121.69550165097401,144.764,658.448
