,cross,cross_angle,para,para_angle,Frequency_Bending_5-6,Cross_mag_Bending_5-6,dip_x_NPA_1-2-19,dip_y_NPA_1-2-19,dip_z_NPA_1-2-19,total_dipole_NPA_1-2-19,dip_x_NPA_20-19-27,dip_y_NPA_20-19-27,dip_z_NPA_20-19-27,total_dipole_NPA_20-19-27,dipole_x_1-2-19,dipole_y_1-2-19,dipole_z_1-2-19,total_dipole_1-2-19,dipole_x_20-19-27,dipole_y_20-19-27,dipole_z_20-19-27,total_dipole_20-19-27,nbo_atom_3,nbo_atom_5,nbo_atom_11,nbo_atom_12,nbo_atom_4,nbo_atom_6,nbo_atom_20,nbo_atom_21,nbo_atom_22,nbo_atom_7,nbo_diff_3-2,nbo_diff_29-28,nbo_diff_2-29,B1_4-1,B5_4-1,L_4-1,loc_B5_4-1,B1_B5_angle_4-1,B1_1-4,B5_1-4,L_1-4,loc_B5_1-4,B1_B5_angle_1-4,"dihedral_[8, 7, 4, 1]","angle_[1, 2, 19]",bond_length_1-2,bond_length_4-7
penta_F,1705.8671,24.53743046895851,1721.7035,64.06014044770201,3155.829,0.47843205369205766,1.0490117220000004,-0.539025544,2.225832003,2.5189883357325997,1.7675577579999997,-0.884869023,-1.5350585649999995,2.502730191952544,-1.2025322775741234,2.5914977580211764,3.2371195454545085,4.3175,-3.586727167899069,-1.783477479915254,1.61105051494044,4.3175,-0.60729,0.26687,-0.28717,0.26061,-0.51796,0.26126,-0.43841,0.22831,-0.07162,-0.15604,0.0026800000000000157,-0.08779999999999999,-0.05439000000000005,2.1822,3.3708,7.4351,3.8169,153.8515,1.8466,6.4079,5.4748,3.9911,159.6584,70.37435738374161,119.82073727465915,1.3604661263886728,1.50035208062941
p_tfm,1656.7011,32.609308786041595,1693.8106,57.03681878995435,3134.6727,0.42794100060639195,5.1868750100000005,-0.223877122,1.4006106859999998,5.37731379304341,2.220303971,1.3362216960000004,-6.490283437000001,6.988491771269108,-0.8297668176718298,2.3611826736859234,5.124853143239927,5.7033,-4.23152743116013,-3.6598568523776365,1.107898799278986,5.7033,-0.61,0.25456,0.21624,-0.17035,-0.5179,0.23633,-0.4383,0.2288,-0.07161,-0.02411,0.005780000000000007,-0.10447000000000001,-0.044910000000000005,2.1961,3.9044,7.4044,3.3084,135.9246,1.8496,7.5555,5.6043,3.0332,161.8643,133.2616107100302,119.46486578176587,1.3661485211410946,1.507381889639782
p_nitro,1709.1878,28.33249027008802,1675.9797,60.09445159204175,3135.1549,0.4412139390363818,5.123441505000001,-0.283907322,1.3188878800000001,5.298086585046792,2.0947136440000005,1.3150436590000005,-6.420845261000001,6.880728082197555,0.2629928691656236,1.9296568081849406,6.764050883412509,7.0388,-4.102152563054755,-5.6667375214627835,0.7781742814236079,7.0388,-0.60629,0.25705,0.21946,-0.17696,-0.52053,0.23646,-0.43818,0.22941,-0.07177,-0.00843,0.008940000000000059,-0.10762,-0.04258000000000006,2.1927,3.9003,7.4019,3.3058,135.8466,1.849,7.4419,5.6788,3.4391,149.9159,137.3054873249174,119.47300411292167,1.3662052740247346,1.507928470180532
p_boc,1655.0745,28.86307651897463,1690.6121,59.982044731039835,3130.1273,0.47475206160689815,4.964201237000001,-0.2285686520000001,2.209423739,5.4384823993984,2.9214571080000002,0.8543917840000002,-6.472541843000001,7.152530661509693,-5.189056820434017,4.363886308403252,4.293772842342484,8.0254,-7.809569645086005,-0.31095395878777987,1.8221496135239423,8.0254,-0.62611,0.25022,0.21443,-0.24004,-0.50982,0.23983,-0.43864,0.22697,-0.07122,-0.07516,-0.013170000000000015,-0.08913000000000004,-0.053549999999999986,2.2001,3.8809,7.4352,3.4125,135.9302,1.8535,11.1792,7.852,6.0911,154.8722,103.02268978748269,119.81014470982417,1.3608509400129025,1.5022192327037354
p_azide,1646.5686,21.14499461788683,1686.111,69.02358736797673,3131.5441,0.43210924544610246,5.257188520000001,-0.09358799300000023,1.523573035,5.474309512644739,2.387347969,1.4024110819999998,-6.528326245000001,7.091207988006038,-1.6883045778495411,2.8812107883303772,3.8667178673418783,5.1091,-4.401523121706268,-2.1057196566794474,1.5151877628066104,5.1091,-0.61463,0.25103,0.21449,-0.20739,-0.51235,0.23589,-0.43843,0.22768,-0.07149,-0.06136,0.0018200000000000438,-0.10139999999999999,-0.04741000000000006,2.1988,3.9058,7.4106,3.3118,135.9149,1.8506,6.9024,5.5879,3.8879,156.9151,129.32230375068568,119.4206615719428,1.3659180798016404,1.5062888106794128
p_amine,1650.7953,25.557984962782086,1695.0942,61.44325057648806,3127.7501,0.44973352109888365,5.320078109,0.024785490000000243,1.7667653249999995,5.605827781871104,2.6935928870000003,1.403863484,-6.614111584,7.278237930172976,-4.131654412456966,3.39044657107645,1.6480269611571394,5.593,-5.240392290857227,1.1470782568326592,1.5824629887064967,5.593,-0.62236,0.24675,0.21016,-0.25346,-0.50736,0.23545,-0.43853,0.22679,-0.07125,-0.09627,-0.005330000000000057,-0.09644000000000003,-0.050759999999999916,2.2009,3.9001,7.4168,3.3501,136.0576,1.8515,6.8969,5.5938,3.8938,159.331,122.05457365986244,119.58876343567285,1.3647545957141891,1.5050200651988
p_Ph,1632.5792,28.09693832257493,1687.7438,61.225194337675354,3132.8899,0.4301343511043962,5.216915130000001,-0.13474416999999997,1.648401752,5.472804381756084,2.4973468229999995,1.2854204089999999,-6.558981449000001,7.135074241418099,-2.7898968374735613,3.5732895075203905,2.739455221700058,5.2968,-4.8742596664148925,-0.48641297987333654,2.0153243652999695,5.2968,-0.61744,0.25102,0.212,-0.18646,-0.51332,0.23633,-0.4385,0.22717,-0.07136,-0.04836,-0.0013900000000000023,-0.09765000000000001,-0.04959999999999998,2.2024,3.8924,7.4147,3.3563,136.018,1.8507,9.537,7.9321,3.2118,154.298,124.20343504466389,119.52142314729612,1.3650871199308123,1.5055088606663862
p_OMe,1651.7267,19.292294261629678,1692.9778,70.2104837349431,3128.696,0.4539194972679627,5.265765158,-0.02916367300000003,1.76415151,5.553500136784449,2.654656308,1.3399233929999999,-6.580495166,7.2211849057105715,-4.043665829657151,3.7864402590500292,3.352521421662853,6.4751,-6.238067211872447,-0.28582473091074556,1.71247912202214,6.4751,-0.62072,0.2485,0.21102,-0.24163,-0.50883,0.23619,-0.43855,0.22682,-0.07128,-0.08333,-0.004370000000000096,-0.09589999999999999,-0.05110999999999999,2.2025,3.8973,7.4185,3.348,135.9751,1.8514,7.6,6.4743,5.0793,164.2934,121.09380039573628,119.55870068670656,1.3646128717204011,1.5047635779061774
p_OH,1664.3776,17.46732097756066,1692.697,72.08360629055781,3129.6563,0.44722314340829905,5.281893408999999,-0.028444698000000046,1.718698398,5.554559502622122,2.6129445989999995,1.3718305339999999,-6.580476899000001,7.211939732813264,-3.767464998770004,3.507994324066216,3.7349836566392294,6.36,-6.1375465704337575,-0.7818473011701139,1.4728056570402748,6.36,-0.61962,0.24884,0.21243,-0.25476,-0.50896,0.23588,-0.43852,0.22699,-0.07132,-0.08445,-0.003109999999999946,-0.09691000000000005,-0.05059999999999998,2.2023,3.9005,7.4174,3.3372,135.9536,1.8514,6.4866,5.3557,3.8996,158.3923,122.82600425835645,119.53528858290834,1.3649044427614703,1.505352449237387
p_OEt,1650.561,18.049549362815675,1691.9215,70.5650070100379,3129.2562,0.443102031139556,5.265731221,-0.027777285999999735,1.7866689900000001,5.560654902910205,2.6686442940000004,1.327147623,-6.58879798,7.231544925006371,-4.188166888114556,3.881154935640901,3.1914644480004952,6.5414,-6.295202878323227,-0.0630161434411054,1.776513587456279,6.5414,-0.62101,0.24828,0.21074,-0.24161,-0.50858,0.23611,-0.43851,0.22678,-0.07126,-0.08397,-0.0045599999999998975,-0.09573000000000004,-0.05127000000000004,2.2028,3.8915,7.4185,3.3598,135.9433,1.8515,8.6853,6.9458,5.2412,163.369,121.20829519650815,119.53433211159894,1.3646824132068236,1.504826857897612
