combination,r2,q2,mae,rmsd,threshold,model,predictions
"('cross',)",0.20613008518856846,0.0804366619620871,0.5999271808900574,0.6774655649599712,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.79207039 1.05842427 0.45585494 1.32776172 1.39180091 0.7575739
 0.44348281 0.40575558 0.62532911 0.77520348 0.78467677 0.42846607
 0.39996144 0.5106574  0.54364975 0.76263715 0.58461477 0.67410086
 1.16582241 1.03453095 0.98423033 1.1804331  0.78537588 0.9928421
 1.52971273]"
"('para',)",0.1036771901213902,-inf,inf,inf,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.77793799 0.57401934 0.72099595 1.23945072 1.11503334 0.38834126
 0.74881967 0.71166396 0.5701901  0.85136817 0.85678049 0.70228462
 0.68558837 0.63016626 0.62278477 0.75834972 0.70739123 0.75271781
 1.14278961 1.2108132  0.68667198 1.26075841 0.85595666 0.71700883
 1.10708637]"
"('Frequency_Stretch_4_5',)",0.26496571931466517,0.1386406180568015,0.5502124437217804,0.6556749554593705,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.59044134 0.59310642 0.57552867 0.50584614 0.4525362  1.41583701
 1.33542139 1.15658967 1.35282697 1.39679935 1.41201576 0.42946032
 0.46837549 0.53832537 0.50484393 0.62358964 0.59946957 0.59148414
 1.09746667 0.86714186 0.58437493 1.04881502 1.27525979 0.51290635
 0.46650685]"
"('dipole_x_10-11-12',)",0.039380278825724147,-inf,inf,inf,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.8523188  0.86696099 0.71744498 1.02212108 1.00560741 0.60740305
 0.58693197 0.99028147 0.68467776 0.68166226 0.59473666 0.69525032
 0.7294698  0.81531245 0.82685025 0.96669151 0.76449802 0.71495091
 0.78539432 0.73520904 0.98414725 0.79288796 0.95163123 1.01429814
 1.00823118]"
"('dipole_y_10-11-12',)",0.008213436215030345,-inf,inf,inf,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.81709256 0.93210267 0.83389165 0.75864974 0.76064409 0.95002924
 0.78696887 0.75554878 0.96589916 0.81714326 0.82972219 0.83351527
 0.82340276 0.73891038 0.72304784 0.81101315 0.787491   0.72197542
 0.84704695 0.85396781 0.85986976 0.845266   0.82976935 0.75843126
 0.75356967]"
"('dipole_z_10-11-12',)",0.150396401969773,-inf,inf,inf,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.74280373 0.72091888 0.81880766 0.65609661 0.64876333 1.20141183
 1.24572794 1.36535264 0.74076011 0.40336153 0.66556469 0.84721273
 0.91132977 0.78772803 0.8739193  0.23609681 0.78113177 0.50053942
 0.93554546 0.77386782 0.67104239 0.88584674 1.50073194 0.71234519
 0.76806249]"
"('total_dipole_10-11-12',)",0.034617507358101096,-inf,inf,inf,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.86800863 0.92950346 0.73928094 0.98026956 0.96715283 0.65063355
 0.57492249 0.94388289 0.73418715 0.68843753 0.608045   0.71600241
 0.74614424 0.76598682 0.76111637 0.96858734 0.75789517 0.65035008
 0.81713946 0.76748146 1.0297214  0.82408007 0.96986723 0.97343202
 0.96284072]"
"('dipole_x_2-3-4',)",0.05837341473815949,-inf,inf,inf,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.84103555 0.78177715 0.67727115 1.0845851  1.0565186  0.50190617
 0.64370383 1.0800552  0.61182249 0.67346428 0.58093202 0.64454608
 0.70067534 0.8430027  0.84036864 0.97891011 0.76209341 0.75480368
 0.75324995 0.75702897 0.95192654 0.75928756 0.97309001 1.08717458
 1.05573972]"
"('dipole_y_2-3-4',)",0.0030477338340306748,-inf,inf,inf,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.82521745 0.90871831 0.82674296 0.80828076 0.80854756 0.87590415
 0.74257853 0.78354505 0.86946374 0.7938698  0.79073143 0.82687392
 0.81933073 0.76893116 0.76783824 0.83089245 0.79638913 0.74421658
 0.83514305 0.81039936 0.8712463  0.83655729 0.84053329 0.80967112
 0.80334647]"
"('dipole_z_2-3-4',)",0.0012841706431639954,-inf,inf,inf,0.2,<modeling.LinearRegressionModel object at 0x000001C7595DFC10>,"[0.80947812 0.80426692 0.80924939 0.78083297 0.78365549 0.8164893
 0.8276956  0.85717234 0.79931259 0.83146354 0.84169872 0.83581759
 0.85119064 0.81205968 0.80986197 0.79227727 0.81033291 0.80096458
 0.8402742  0.792737   0.80810332 0.84085009 0.87640822 0.77287586
 0.78990051]"
