,cross_6_0,cross_angle_6_0,para_6_0,para_angle_6_0,cross_14_0,cross_angle_14_0,para_14_0,para_angle_14_0,Frequency_Stretch_12_13,Amplitude_Stretch_12_13,Frequency_Stretch_24_25,Amplitude_Stretch_24_25,dipole_x_6-11-4,dipole_y_6-11-4,dipole_z_6-11-4,total_dipole_6-11-4,nbo_atom_14,nbo_atom_11,nbo_atom_27,nbo_atom_6,nbo_atom_26,B1_11-26,B5_11-26,L_11-26,loc_B5_11-26,B1_B5_angle_11-26,B1_11-27,B5_11-27,L_11-27,loc_B5_11-27,B1_B5_angle_11-27,"0_dihedral_[28, 27, 29, 11]",0_bond_length_11-26,aniso,iso
tB14,1668.3197,90.0,1686.9461,90.0,1665.3684,90.0,1686.9461,90.0,3877.3569,1.0251565299999998,3874.5221,1.01898832,-1.0458964843632887,-1.0722176209301422,0.6988665375902744,1.6529,-0.04021,-0.27103,-0.03874,-0.03948,0.22135,1.4992,1.5001,2.0951,0.0,67.2708,1.6997,3.2324,5.9228,4.0797,92.1897,177.5994157687671,1.0951251772966415,239.398,135.133
iPr,1667.4381,90.0,1693.396,90.0,1667.4381,90.0,1693.396,90.0,3873.9745,1.0158676000000002,3875.5334,1.0193490200000002,-0.12826346741429612,-0.5462343796564463,-0.2093729099195958,0.5989,-0.0345,-0.24434,-0.20025,-0.03462,0.20655,1.4992,1.5001,2.0961,0.0,67.2708,1.7354,3.1769,4.1831,1.7542,70.3405,123.02018386790971,1.096096748803225,188.553,928.995
Ph,1667.9439,90.0,1689.4815,90.0,1657.1143,90.0,1691.1186,90.0,3875.3747,1.0093081400000001,3874.2646,1.01535248,1.7029859708247237,0.29657325130519674,1.036588013525353,2.0156,-0.03987,-0.27692,-0.00117,-0.04149,0.22333,1.4992,1.5001,2.0952,0.0,67.2708,1.6997,3.2271,5.9156,4.0846,91.0227,177.65043626262434,1.0952075518704205,219.078,108.92200000000001
Me,1665.6642,90.0,1690.6023,90.0,1669.374,90.0,1693.8322,90.0,3876.0739,1.0123790199999998,3875.3194,1.0093831199999999,0.42833710442389017,-0.45869383121922186,-0.932475149360662,1.124,-0.04589,-0.24864,-0.58991,-0.04077,0.21113,1.4992,1.5001,2.0948,0.0,67.2708,1.6991,2.0257,3.2297,1.898,180.0,120.96562289600044,1.0947571898996598,164.76399999999998,120.166
Et,1669.8398,90.0,1690.1993,90.0,1669.8398,90.0,1693.3289,90.0,3874.0627,1.0072723099999998,3874.8025,1.00951188,-0.3747616355015043,-0.511980570976458,-0.5855070464980395,0.8634,-0.03955,-0.24777,-0.38135,-0.04054,0.20941,1.4992,1.5001,2.0957,0.0,67.2708,1.5463,3.1541,4.2123,1.7676,157.0142,123.87092342031569,1.0957343522683771,176.511,107.38799999999999
Cy,1667.5497,90.0,1691.9603,90.0,1667.5497,90.0,1691.9603,90.0,3876.5042,0.96785455,3876.2184,0.96221271,-0.1650064684385516,0.07057380945301361,0.45147798705222275,0.4858,-0.03289,-0.24207,-0.19429,-0.03282,0.20797,1.4992,1.5001,2.0958,0.0,67.2708,1.9126,3.4749,5.8708,3.9875,148.6163,123.73208362704189,1.0958195377132132,219.767,868.64
CH₂tBu,1667.939,90.0,1692.9227,90.0,1667.939,90.0,1692.9227,90.0,3876.7323,0.9584731199999997,3877.0039,0.9497160400000001,-0.19343896824635295,-0.5535134303884589,0.4265828148711422,0.7251,-0.03592,-0.25549,-0.37441,-0.03203,0.2148,1.4992,1.5001,2.0936,0.0,67.2708,1.5613,4.3948,5.3202,2.2998,159.7681,128.07434865101325,1.0936483130293762,211.529,901.807
CH₂iPr,1669.4907,90.0,1694.1164,90.0,1669.4907,90.0,1694.1164,90.0,3877.1991,0.9309140399999999,3876.9521,0.9316525999999999,-0.33508094803792,-0.696184331157758,0.4929207089506728,0.9164,-0.03945,-0.25158,-0.37454,-0.03662,0.21427,1.4992,1.5001,2.094,0.0,67.2708,1.5532,4.3836,5.4003,2.3573,158.1991,129.06776743697733,1.093976351557016,200.419,972.272
CH₂CF₃,1690.7628,90.0,1693.8003,90.0,1667.2746,90.0,1690.7628,90.0,3874.0477,1.0176917899999998,3875.3252,1.01960988,-2.6278244748606507,-1.4263328497690346,-0.04740106531605415,2.9903,-0.05151,-0.24997,-0.47343,-0.04481,0.22777,1.4992,1.5001,2.0932,0.0,67.2708,1.5179,3.7162,4.8079,1.5958,156.3694,124.95997504380458,1.0931553623529455,176.244,111.333
CHPh₂,1666.7578,90.0,1689.5769,90.0,1666.7578,90.0,1692.9276,90.0,3876.117,1.0087408000000002,3876.7953,1.0114257400000002,-0.384518717340412,0.2713004235465963,0.9285804521948123,1.041,-0.04066,-0.23886,-0.25207,-0.03808,0.21585,1.4992,1.5001,2.0949,0.0,67.2708,2.1153,5.8157,6.1773,3.9928,91.3961,118.98758316629198,1.0949132764625698,293.139,165.81699999999998
