combination,r2,q2,mae,rmsd,threshold,model,predictions
"('cross_6_0', 'para_6_0', 'cross_14_0')",0.332857182836642,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.03121069 0.64942342 1.00875442 0.73602007 0.82551675 0.72479748
 0.67605349 0.61969821 1.04981168 0.84617396 0.63110733 1.01900336
 0.49240135 0.24813637 1.02554206 0.41487112 0.73424945 1.10190942]"
"('cross_6_0', 'para_6_0', 'para_14_0')",0.38760578747998986,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.43013098 0.59877613 0.87916504 0.48602101 0.61172754 0.78259602
 0.66613925 0.53727135 1.30254697 0.61557542 0.55934632 0.83548062
 0.55092075 0.59910986 0.79846095 0.7417601  0.79498987 1.04466245]"
"('cross_6_0', 'para_6_0', 'Frequency_Stretch_12_13')",0.44258050123490333,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.17704449 0.3322995  0.74717184 0.73323319 0.5688982  0.78211966
 0.77931526 0.83254658 0.96434422 0.82021118 0.75053112 0.64725613
 0.59129501 0.53949116 0.95498763 0.48785864 0.56652807 1.55954873]"
"('cross_6_0', 'para_6_0', 'Amplitude_Stretch_12_13')",0.2240162160465371,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.97512531 0.65202795 0.80871166 0.72617284 0.80830229 0.56283193
 0.49928113 0.39051843 1.09365088 0.77977411 0.63338863 0.98980961
 0.78402245 0.77903636 0.90001193 0.62219018 0.6960594  1.13376552]"
"('cross_6_0', 'para_6_0', 'Frequency_Stretch_24_25')",0.2032891453808423,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.96163585 0.53888492 0.77503772 0.67631958 0.7892701  0.65830956
 0.62698658 0.58325283 1.07267733 0.81595097 0.59001387 0.95369074
 0.78971405 0.71928895 0.98663777 0.58178882 0.55749958 1.1577214 ]"
"('cross_6_0', 'para_6_0', 'Amplitude_Stretch_24_25')",0.2134747027489431,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.96628835 0.63311876 0.82600664 0.71111717 0.81573122 0.5738129
 0.50566676 0.43686915 1.08627016 0.78824233 0.60810155 1.00986825
 0.78746955 0.74080971 0.91360363 0.63011726 0.68485455 1.11673266]"
"('cross_6_0', 'para_6_0', 'dipole_x_6-11-4')",0.2647095289149688,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.9219977  0.6055159  1.05749454 0.7869431  0.8396193  0.69190181
 0.64107739 0.59607798 0.95515853 0.79089597 0.59226419 0.93916482
 0.55875461 0.53903072 0.96755532 0.5486384  0.52375377 1.27883656]"
"('cross_6_0', 'para_6_0', 'dipole_y_6-11-4')",0.3137827412149169,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.8817191  0.49684572 0.94178054 0.66253425 0.79484155 0.71419803
 0.54266105 0.4742197  0.94145123 0.89817196 0.50346719 1.02777426
 0.71070386 0.36255094 0.91487529 0.91859239 0.75772898 1.29056458]"
"('cross_6_0', 'para_6_0', 'dipole_z_6-11-4')",0.3234858650052862,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.10933504 0.57492721 1.01183094 0.5893799  0.73755628 0.7671304
 0.71393112 0.68129002 0.96039711 0.9693037  0.68934068 1.09920791
 0.65006469 0.35668989 0.92922164 0.47620342 0.42569239 1.09317826]"
"('cross_6_0', 'para_6_0', 'total_dipole_6-11-4')",0.4719675817889878,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.99010313 0.72669353 0.70832889 0.76251673 0.97318343 0.8622453
 0.74753968 0.66039819 0.8282736  0.88928668 0.6824729  0.85042229
 0.54120467 0.14798411 1.10198547 0.43411615 0.45150377 1.47642211]"
