combination,r2,q2,mae,rmsd,threshold
"['IE (Ha)', 'nbo_C2_CMC', 'nbo_C6_CMC', 's_C2_L_FL']",0.8141886879283662,-inf,inf,inf,0.85
"['IE (Ha)', 'dipole_x_1-2-3', 'hirshfeld_atom_1', 'bond_length_5-6']",0.9019462817135102,0.7561578649022584,0.24122359914062969,0.2954877103524115,0.85
"['IE (Ha)', 'dip_x_NPA_4-5-6', 'hirshfeld_atom_1', 'bond_length_5-6']",0.9089605335754547,0.7944923045215531,0.22132558747695755,0.27129889894325915,0.85
"['Frequency_Stretch_1_21', 'hirshfeld_atom_1', 'B1_6-7', 'bond_length_5-6']",0.889914949986873,0.7560348628732434,0.2624623227044327,0.2989459461954608,0.85
"['IE (Ha)', 'nbo_C2_CMC', 'nbo_C6_CMC', 's_C2_L_FL']",0.8141886879283662,0.697265482135005,0.2487410836091854,0.342099596026582,0.7
"['IE (Ha)', 'dipole_x_1-2-3', 'hirshfeld_atom_1', 'bond_length_5-6']",0.9019462817135102,0.7561578649022584,0.24122359914062969,0.2954877103524115,0.7
"['IE (Ha)', 'dip_x_NPA_4-5-6', 'hirshfeld_atom_1', 'bond_length_5-6']",0.9089605335754547,0.7944923045215531,0.22132558747695755,0.27129889894325915,0.7
"['IE (Ha)', 'nbo_C2_CMC', 'nbo_C6_CMC', 's_C2_L_FL']",0.8141886879283662,0.8141886879283659,0.1593138558906436,0.24926283204486885,0.7
"['IE (Ha)', 'dipole_x_1-2-3', 'hirshfeld_atom_1', 'bond_length_5-6']",0.9019462817135102,0.90194628171351,0.14896955676538642,0.18107291102383444,0.7
"['IE (Ha)', 'dip_x_NPA_4-5-6', 'hirshfeld_atom_1', 'bond_length_5-6']",0.9089605335754547,0.9089605335754546,0.13951141744576745,0.1744762433456292,0.7
"['IE (Ha)', 'nbo_C2_CMC', 'nbo_C6_CMC', 's_C2_L_FL']",0.8141886879283662,0.8141886879283659,0.1593138558906436,0.24926283204486885,0.7
"['IE (Ha)', 'dipole_x_1-2-3', 'hirshfeld_atom_1', 'bond_length_5-6']",0.9019462817135102,0.90194628171351,0.14896955676538642,0.18107291102383444,0.7
"['IE (Ha)', 'dip_x_NPA_4-5-6', 'hirshfeld_atom_1', 'bond_length_5-6']",0.9089605335754547,0.9089605335754546,0.13951141744576745,0.1744762433456292,0.7
"['Frequency_Stretch_1_21', 'hirshfeld_atom_1', 'B1_6-7', 'bond_length_5-6']",0.889914949986873,0.8899149499868731,0.17628638230828042,0.19186052213867155,0.7
