combination,r2,q2,mae,rmsd,threshold,model,predictions
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'Frequency_Stretch_24_25')",0.4855177638276702,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.44889825 0.53728772 0.95466696 0.98833358 0.59277844 0.66795771
 0.55308843 0.47562239 0.59176809 0.78359293 0.8487458  0.36978434
 0.52733104 0.62193358 0.86116969 0.64143157 1.06169383 1.30859626]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'Amplitude_Stretch_24_25')",0.4011575622313468,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.2114973  0.64171098 0.87911478 0.91663407 0.57473543 0.61281849
 0.5415515  0.53129232 0.64960192 0.96799435 1.04727812 0.17543759
 0.84255578 0.61689171 0.76165901 0.69621913 0.90051468 1.26717345]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'dipole_x_6-11-4')",0.3890095437479697,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.26631829 0.59442177 0.7234862  0.90504712 0.55075956 0.65308482
 0.62021678 0.49111534 0.69872241 0.90961262 1.02038253 0.19391231
 0.82374141 0.7837151  0.8166128  0.6388124  0.8735597  1.27115945]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'dipole_y_6-11-4')",0.41555526373113594,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.1673731  0.63409588 0.87012971 0.92954431 0.58180201 0.68732789
 0.58863596 0.42515201 0.57796476 0.97469937 1.00692117 0.17586267
 0.78674601 0.5927248  0.76920934 0.81880206 0.94493266 1.3027569 ]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'dipole_z_6-11-4')",0.6268839887926623,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.42764757 0.69217973 1.09065653 0.75761461 0.52889133 0.67601623
 0.60343826 0.39644241 0.75747729 1.15462021 1.15735519 0.52045764
 0.6803803  0.30316943 0.74084626 0.41831927 0.56979326 1.35937508]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'total_dipole_6-11-4')",0.4968303193231427,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.14451769 0.92671891 0.74140973 0.99761965 0.8059622  0.73213879
 0.62173276 0.37053412 0.51919123 0.98224746 1.09897964 0.17514354
 0.71441004 0.41818368 0.86662834 0.57458796 0.79273745 1.35193742]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'nbo_atom_14')",0.39939139213280517,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.19992569 0.75484224 0.81975291 0.86347209 0.63717638 0.71602783
 0.63418859 0.43128339 0.57677331 0.90199816 1.00915802 0.12112925
 0.76322014 0.73203874 0.82080217 0.66744566 0.88278536 1.30266068]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'nbo_atom_11')",0.4490478796909738,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.37160189 0.49343784 0.90886562 0.88730932 0.46271062 0.5702557
 0.62229449 0.46473112 0.55718433 0.80483168 1.00374826 0.39830844
 0.6324953  0.7673671  0.92593615 0.6927116  0.95366118 1.31722999]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'nbo_atom_27')",0.41932779115442465,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.31565635 0.63183459 0.89645733 0.77466169 0.50407111 0.69076529
 0.58022891 0.45366591 0.53773952 0.90245204 0.95701096 0.24197684
 0.70054088 0.78843474 0.91139674 0.72009123 0.94307249 1.28462401]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'nbo_atom_6')",0.3894305845343069,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.27680089 0.56091848 0.80301668 0.95035768 0.54283257 0.63574344
 0.59943484 0.49442593 0.64554764 0.91467802 1.02994237 0.25311213
 0.79441254 0.77773664 0.81228472 0.62017455 0.8503778  1.2728837 ]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'nbo_atom_26')",0.394346770857803,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.19993322 0.71989771 0.78519956 0.96614936 0.65036001 0.68767202
 0.61271249 0.46180598 0.64380785 0.92083882 1.04189606 0.12531992
 0.82050343 0.65906104 0.79376462 0.63534697 0.8458968  1.26451476]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'B1_11-26')",0.3841088126832718,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.23910472 0.63218516 0.80199519 0.93646195 0.57884334 0.65594708
 0.61854832 0.47658018 0.65802369 0.91479418 1.02251957 0.17863553
 0.78948983 0.7527122  0.81609921 0.63793179 0.85777475 1.26703394]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'B5_11-26')",0.3841088126832718,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.23910472 0.63218516 0.80199519 0.93646195 0.57884334 0.65594708
 0.61854832 0.47658018 0.65802369 0.91479418 1.02251957 0.17863553
 0.78948983 0.7527122  0.81609921 0.63793179 0.85777475 1.26703394]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'L_11-26')",0.3847395313760624,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.24604449 0.64503652 0.80807578 0.93969038 0.58820021 0.66727235
 0.61110592 0.47242687 0.64620944 0.91884608 1.02192839 0.16761863
 0.79362309 0.73102914 0.8232495  0.64346481 0.864807   1.24605202]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'B1_B5_angle_11-26')",0.3841088126832718,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.23910472 0.63218516 0.80199519 0.93646195 0.57884334 0.65594708
 0.61854832 0.47658018 0.65802369 0.91479418 1.02251957 0.17863553
 0.78948983 0.7527122  0.81609921 0.63793179 0.85777475 1.26703394]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'B1_11-27')",0.38475232751873,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.2471236  0.63257355 0.80547272 0.94135543 0.58582388 0.64976912
 0.62526711 0.4820833  0.66691823 0.90369673 1.03362652 0.17567551
 0.7876557  0.75570253 0.77999186 0.63969433 0.85794105 1.26430946]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'B5_11-27')",0.38415277840920836,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.24202463 0.63325968 0.8037505  0.94201601 0.5800288  0.6576452
 0.61778395 0.47610575 0.65762337 0.90969531 1.01835697 0.17777411
 0.78415693 0.75231719 0.81770683 0.63938088 0.85950877 1.26554573]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'L_11-27')",0.40313444241009877,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.2659302  0.67788826 0.79140024 1.05484418 0.62095224 0.64706704
 0.63312024 0.48308527 0.67849454 0.90415479 1.04217858 0.19642083
 0.82966091 0.68589629 0.69169715 0.6145756  0.73798175 1.2793325 ]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'loc_B5_11-27')",0.42713663826435366,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.20930226 0.71409446 0.7364358  1.03512306 0.65648637 0.59074409
 0.66964738 0.51549453 0.7529817  0.86549389 1.10352885 0.19777842
 0.79423226 0.67281302 0.59747139 0.55996482 0.79565569 1.36743263]"
"('Frequency_Stretch_12_13', 'Amplitude_Stretch_12_13', 'B1_B5_angle_11-27')",0.3854932370125884,-inf,inf,inf,0.75,<modeling.LinearRegressionModel object at 0x00000293447DC6A0>,"[1.22807226 0.61243961 0.78879603 0.96202693 0.59496635 0.65844658
 0.6238039  0.4751651  0.67600233 0.90105318 1.03317956 0.18749596
 0.80729127 0.74273603 0.78961884 0.62366446 0.84508145 1.28484078]"
