,cross,para,-1-2-,-2-3-,"Dist(18, 20)","Dist(16, 17)","Dist(10, 17)",dip_x,dip_y,dip_z,Total,B1,B5,L,output
Ph,1673.9294,1644.2966,1386.8303,1408.8716,1.480703147,2.479340193,2.747377446,-3.1434,-0.9304,1.8449,3.7618,1.7,3.16,6.83,0.748188027
m_F,1682.7095,1654.8152,1388.1656,1409.9846,1.480897983,2.490305545,2.710783267,3.9296,-0.7684,-1.1232,4.1585,1.7,3.72,6.83,1.066325925
m_Me,1675.4523,1651.0696,1387.9945,1387.9945,1.480892914,2.495676935,2.726944186,2.7469,-0.9484,-2.4256,3.7853,1.7,4.39,6.81,0.711807229
m_naph,1644.1748,1705.3141,1375.155,1407.6436,1.48047123,2.478945857,2.725682004,-2.7156,-0.6354,2.2823,3.6037,1.7,4.43,8.89,1.006466042
m_tfm,1682.5356,1663.3317,1401.5558,1415.6171,1.481097634,2.498606138,2.708387063,-4.7066,-0.4959,-0.5354,4.7629,1.78,4.85,7.43,1.025305865
mm_F,1690.4356,1666.0158,1411.7755,1493.4601,1.481005196,2.467971917,2.701396727,-5.2914,1.2781,-0.7682,5.4975,1.7,3.71,6.83,0.802773725
mm_oMe,1679.933,1648.0589,1411.4827,1411.4827,1.481279394,2.512664013,2.734479116,-1.2477,2.0009,-0.5862,2.4298,1.7,4.57,7.58,0.788875116
o_F,1684.4892,1645.7197,1387.825,1387.825,1.481665967,2.503980294,2.745723224,2.6031,-0.9307,-0.7328,2.86,1.7,3.7,6.85,1.066325925
o_Me,1671.2558,1638.1423,1382.5712,1393.5891,1.480737265,2.463748961,2.736110253,3.2129,-0.5664,-2.1814,3.9246,1.74,5.25,6.82,0.653212514
op_Me,1679.8405,1626.1743,1377.6015,1390.3247,1.480762061,2.439692623,2.76700526,3.2495,0.6075,1.3038,3.5537,1.74,5.28,7.75,0.525044807
p_F,1674.8704,1656.6209,1387.3683,1405.4559,1.480753087,2.494816175,2.709735022,-4.7296,0.2694,-1.5786,4.9933,1.7,3.14,7.41,0.829303773
p_Me,1631.5529,1683.0035,1386.3046,1562.0507,1.480777672,2.44533271,2.776447325,-3.0893,1.1358,-1.1076,3.4729,1.7,3.17,7.75,0.574031268
p_MeO,1635.7921,1677.5377,1385.7375,1404.704,1.480673089,2.446099,2.778251763,-2.7495,0.9063,-2.6957,3.9557,1.7,3.21,8.86,0.511883361
p_tBu,1622.4238,1680.1761,1386.0574,1386.0574,1.480790015,2.448382177,2.747405834,2.9467,-0.0997,1.7518,3.4295,2.66,5.32,9.03,0.544068044
p_tfm,1690.9687,1642.1848,1392.8153,1452.6887,1.480932782,2.475098201,2.714565247,6.115,-0.6617,1.6994,6.3811,2.11,3.15,8.16,0.550228353
