combination,accuracy,precision,recall,f1_score,mcfadden_r2,avg_mcfadden_r2,avg_accuracy,avg_f1_score,threshold
"('vmin_vmin_boltz',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,0.004633688161769567,,,,0.5
"('vmin_r_boltz',)",0.6923076923076923,0.696969696969697,0.6923076923076923,0.6904761904761905,0.08092152275126618,,,,0.5
"('fmo_e_homo_boltz',)",0.8076923076923077,0.8095238095238095,0.8076923076923077,0.8074074074074075,0.073090265846665,,,,0.5
"('fmo_e_lumo_boltz',)",0.46153846153846156,0.4575163398692811,0.46153846153846156,0.4484848484848485,0.040998946450706564,,,,0.5
"('fmo_mu_boltz',)",0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.0013609272614700796,,,,0.5
"('fmo_eta_boltz',)",0.6538461538461539,0.6625000000000001,0.6538461538461539,0.6491754122938531,0.13581493426352065,,,,0.5
"('fmo_omega_boltz',)",0.4230769230769231,0.41874999999999996,0.4230769230769231,0.4152923538230885,0.013187102531665329,,,,0.5
"('somo_ra_boltz',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,0.04990996532333003,,,,0.5
"('somo_rc_boltz',)",0.8076923076923077,0.8250000000000001,0.8076923076923077,0.8050974512743628,0.16882407495878282,,,,0.5
"('nbo_P_boltz',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.03793471162786943,,,,0.5
"('nbo_P_ra_boltz',)",0.8461538461538461,0.8545454545454546,0.8461538461538461,0.8452380952380951,0.3569846540640441,,,,0.5
"('spindens_P_ra_boltz',)",0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.3037567852406525,,,,0.5
"('nbo_P_rc_boltz',)",0.8846153846153846,0.886904761904762,0.8846153846153846,0.8844444444444444,0.6009057981677415,0.48013164882328463,0.8466666666666667,0.8457142857142858,0.5
"('spindens_P_rc_boltz',)",0.8076923076923077,0.8095238095238095,0.8076923076923077,0.8074074074074075,0.5645664593437532,0.4497480712130626,0.8133333333333332,0.805,0.5
"('nmr_P_boltz',)",0.38461538461538464,0.38181818181818183,0.38461538461538464,0.380952380952381,0.0010767449015629538,,,,0.5
"('nmrtens_sxx_P_boltz',)",0.5,0.5,0.5,0.49325337331334335,0.010609131028423202,,,,0.5
"('nmrtens_syy_P_boltz',)",0.4230769230769231,0.42261904761904756,0.4230769230769231,0.4222222222222222,0.00032227936921713773,,,,0.5
"('nmrtens_szz_P_boltz',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.0024730543631877877,,,,0.5
"('efg_amp_P_boltz',)",0.5,0.5,0.5,0.49925925925925924,0.002198746706387422,,,,0.5
"('efgtens_xx_P_boltz',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,0.03619981058515265,,,,0.5
"('efgtens_yy_P_boltz',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.03008999201531859,,,,0.5
"('efgtens_zz_P_boltz',)",0.5,0.5,0.5,0.49925925925925924,0.001129419161004841,,,,0.5
"('nuesp_P_boltz',)",0.4230769230769231,0.40972222222222227,0.4230769230769231,0.40092165898617504,0.03383660465679894,,,,0.5
"('E_solv_cds_boltz',)",0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.10718382519943093,,,,0.5
"('nbo_lp_P_percent_s_boltz',)",0.5,0.5,0.5,0.49925925925925924,0.0063894711453713615,,,,0.5
"('nbo_lp_P_occ_boltz',)",0.5769230769230769,0.5902777777777778,0.5769230769230769,0.5606758832565284,0.0017629533775573858,,,,0.5
"('nbo_lp_P_e_boltz',)",0.5769230769230769,0.5773809523809524,0.5769230769230769,0.5762962962962963,0.026678437534313537,,,,0.5
"('nbo_bd_e_max_boltz',)",0.5769230769230769,0.5902777777777778,0.5769230769230769,0.5606758832565284,0.041714999986627754,,,,0.5
"('nbo_bd_e_avg_boltz',)",0.46153846153846156,0.45112781954887216,0.46153846153846156,0.43125,0.012859755596929534,,,,0.5
"('nbo_bds_e_min_boltz',)",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0007320727166892915,,,,0.5
"('nbo_bds_e_avg_boltz',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.022443857313157012,,,,0.5
"('nbo_bd_occ_min_boltz',)",0.5384615384615384,0.5488721804511278,0.5384615384615384,0.5125,0.05679515998317575,,,,0.5
"('nbo_bd_occ_avg_boltz',)",0.5769230769230769,0.58125,0.5769230769230769,0.5712143928035982,0.027147941164546996,,,,0.5
"('nbo_bds_occ_max_boltz',)",0.5769230769230769,0.58125,0.5769230769230769,0.5712143928035982,0.02790515177036379,,,,0.5
"('nbo_bds_occ_avg_boltz',)",0.46153846153846156,0.4575163398692811,0.46153846153846156,0.4484848484848485,0.006367573302020757,,,,0.5
"('E_solv_total_boltz',)",0.8076923076923077,0.8095238095238095,0.8076923076923077,0.8074074074074075,0.1832490380305838,,,,0.5
"('E_solv_elstat_boltz',)",0.6538461538461539,0.6625000000000001,0.6538461538461539,0.6491754122938531,0.05085833013592378,,,,0.5
"('E_oxidation_boltz',)",0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.11640733547551896,,,,0.5
"('E_reduction_boltz',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,0.04705424984101969,,,,0.5
"('fukui_p_boltz',)",0.7307692307692307,0.7321428571428571,0.7307692307692307,0.7303703703703703,0.459091964930352,,,,0.5
"('fukui_m_boltz',)",0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.5722231923362646,0.45580249463165023,0.8133333333333332,0.805,0.5
"('vbur_vtot_boltz',)",0.6923076923076923,0.696969696969697,0.6923076923076923,0.6904761904761905,0.07036588629603258,,,,0.5
"('vbur_ratio_vbur_vtot_boltz',)",0.5769230769230769,0.5773809523809524,0.5769230769230769,0.5762962962962963,0.03861193548902042,,,,0.5
"('Pint_P_int_boltz',)",0.6923076923076923,0.7124183006535947,0.6923076923076923,0.6848484848484848,0.15689490173103615,,,,0.5
"('Pint_dP_boltz',)",0.6538461538461539,0.6625000000000001,0.6538461538461539,0.6491754122938531,0.017830188006851877,,,,0.5
"('Pint_P_min_boltz',)",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.2824732405323458,,,,0.5
"('Pint_P_max_boltz',)",0.6538461538461539,0.6625000000000001,0.6538461538461539,0.6491754122938531,0.1017549470264526,,,,0.5
"('volume_boltz',)",0.7307692307692307,0.7321428571428571,0.7307692307692307,0.7303703703703703,0.06262065845261122,,,,0.5
"('surface_area_boltz',)",0.6923076923076923,0.696969696969697,0.6923076923076923,0.6904761904761905,0.048180182567732044,,,,0.5
"('sphericity_boltz',)",0.6538461538461539,0.6805555555555555,0.6538461538461539,0.6405529953917051,0.010828772918174745,,,,0.5
"('dipolemoment_boltz',)",0.5769230769230769,0.5902777777777778,0.5769230769230769,0.5606758832565284,0.004119713876990172,,,,0.5
"('dipolemoment_min',)",0.4230769230769231,0.41874999999999996,0.4230769230769231,0.4152923538230885,0.004015314796704694,,,,0.5
"('dipolemoment_max',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.1268874404032101,,,,0.5
"('dipolemoment_delta',)",0.6923076923076923,0.696969696969697,0.6923076923076923,0.6904761904761905,0.11711829717445899,,,,0.5
"('dipolemoment_vburminconf',)",0.6538461538461539,0.6625000000000001,0.6538461538461539,0.6491754122938531,0.14529600691373346,,,,0.5
"('qpole_amp_boltz',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.010098089430271018,,,,0.5
"('qpole_amp_min',)",0.5,0.5,0.5,0.49925925925925924,0.000455036390559993,,,,0.5
"('qpole_amp_max',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.013246783299199483,,,,0.5
"('qpole_amp_delta',)",0.6538461538461539,0.6805555555555555,0.6538461538461539,0.6405529953917051,0.014377478856564818,,,,0.5
"('qpole_amp_vburminconf',)",0.5,0.5,0.5,0.49325337331334335,0.010445510635850863,,,,0.5
"('qpoletens_xx_boltz',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.01281484785833542,,,,0.5
"('qpoletens_xx_min',)",0.5769230769230769,0.58125,0.5769230769230769,0.5712143928035982,0.0025665902853458933,,,,0.5
"('qpoletens_xx_max',)",0.5769230769230769,0.5773809523809524,0.5769230769230769,0.5762962962962963,0.004074134335493862,,,,0.5
"('qpoletens_xx_delta',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.0020628684201661196,,,,0.5
"('qpoletens_xx_vburminconf',)",0.5,0.5,0.5,0.49325337331334335,0.0011170158980345901,,,,0.5
"('qpoletens_yy_boltz',)",0.5,0.5,0.5,0.49925925925925924,0.0024833499050410657,,,,0.5
"('qpoletens_yy_min',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,0.0007918249664180532,,,,0.5
"('qpoletens_yy_max',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.07523933072454214,,,,0.5
"('qpoletens_yy_delta',)",0.7307692307692307,0.7437499999999999,0.7307692307692307,0.7271364317841079,0.01879919616073733,,,,0.5
"('qpoletens_yy_vburminconf',)",0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.06323043573008835,,,,0.5
"('qpoletens_zz_boltz',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.022029279967611615,,,,0.5
"('qpoletens_zz_min',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.08292568155094915,,,,0.5
"('qpoletens_zz_max',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,3.334807340749091e-05,,,,0.5
"('qpoletens_zz_delta',)",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.14224133263868788,,,,0.5
"('qpoletens_zz_vburminconf',)",0.6153846153846154,0.6274509803921569,0.6153846153846154,0.606060606060606,0.032461611462816564,,,,0.5
"('pyr_P_boltz',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.010441962712006148,,,,0.5
"('pyr_P_min',)",0.38461538461538464,0.3725490196078431,0.38461538461538464,0.3696969696969697,7.060362221200656e-06,,,,0.5
"('pyr_P_max',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.010253952972130165,,,,0.5
"('pyr_P_delta',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.012323143944576453,,,,0.5
"('pyr_P_vburminconf',)",0.5,0.5,0.5,0.49325337331334335,1.560797107980072e-05,,,,0.5
"('pyr_alpha_boltz',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.009918517795129866,,,,0.5
"('pyr_alpha_min',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.010182619432708151,,,,0.5
"('pyr_alpha_max',)",0.46153846153846156,0.46060606060606063,0.46153846153846156,0.45833333333333337,0.001289325167486588,,,,0.5
"('pyr_alpha_delta',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.024072141962884652,,,,0.5
"('pyr_alpha_vburminconf',)",0.5384615384615384,0.5393939393939393,0.5384615384615384,0.5357142857142857,0.00054554510031668,,,,0.5
"('vbur_vbur_boltz',)",0.7307692307692307,0.7437499999999999,0.7307692307692307,0.7271364317841079,0.20833366421571065,,,,0.5
"('vbur_vbur_min',)",0.5384615384615384,0.5424836601307189,0.5384615384615384,0.5272727272727272,0.02197158053691417,,,,0.5
"('vbur_vbur_max',)",0.7307692307692307,0.7437499999999999,0.7307692307692307,0.7271364317841079,0.15401645392371133,,,,0.5
"('vbur_vbur_delta',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.08523129023155518,,,,0.5
