combination,r2,q2,mae,rmsd,threshold,model
"('cross', 'para', '-1-2-', '-2-3-')",0.7234467758767036,-1.6550046460457075,0.1939612999452068,0.28413210736751593,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', '-2-9-')",0.6227428570072826,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', '-1-10-')",0.6254853294835603,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', '-9-16-')",0.6499168111601517,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', '-17-18-')",0.6223562555945583,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', '-18-19-')",0.6254954826620016,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', '-18-20-')",0.6932660807921508,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(1, 2)')",0.6413421164980159,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(2, 3)')",0.6273644815087229,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(2, 9)')",0.7114288327150464,-0.1191091013456258,0.14752062502393135,0.18446920818695714,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(1, 10)')",0.6215787512815337,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(9, 16)')",0.7455497534190518,0.3302041750710527,0.12450947023914968,0.14271147268859466,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(17, 18)')",0.6366408969760287,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(18, 19)')",0.6282137415989448,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(18, 20)')",0.7030151349595113,0.19171659267801044,0.14252161512937722,0.15677236195248934,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(16, 17)')",0.7886282692495438,0.5341932711297025,0.0944082552523076,0.11901194385254786,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Dist(10, 17)')",0.675975065764967,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'dip_x')",0.7030649575877701,-0.3800910364494523,0.1774614152530921,0.20485262685111835,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'dip_y')",0.6280678037653278,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'dip_z')",0.6376690203579021,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'Total')",0.7902022642650859,0.2041132197215456,0.13175184808240772,0.1555655093566611,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO O 1')",0.6471540867719143,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO B 2')",0.6562165538355933,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO C 3')",0.6249434262922318,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO O 9')",0.6381052145481163,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO H 10')",0.6271756177988972,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO H 16')",0.7180886810646238,0.3515252067333978,0.10813693816267977,0.14042169772460775,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO O 17')",0.6319742051378989,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO C 18')",0.6781085879624786,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO H 19')",0.6323009040905727,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'NBO C 20')",0.6482312190390153,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-2-', 'diff O1 B2')",0.7007283171711276,0.17556992001487204,0.11562885048885468,0.15833050035794413,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
