SMILES,Output
O=C1C=C(CCCCCCC)NC2=CC=CC=C21,4.12498989
O=C1C=C(CCCCCCCCC)NC2=CC=CC=C21,96.10123015
O=C1C=C(CCCCCCC)OC2=CC=CC=C21,70.77410536
O=C1C=C(CCCCCCC)NC2=CC=C(C)C=C21,31.44120271
O=C1C=C(CCCCCCC)NC2=CC=C(OC)C=C21,29.08481711
O=C1C=C(CCCCCCC)NC2=CC(C)=CC(C)=C21,53.66880496
O=C1C=C(CCCCC)NC2=CC=CC=C21,-2.4915766
O=C1C=C(CCC2=CC=CC=C2)NC3=CC=CC=C31,-3.8061877
O=C1C=C(CCC2CCCCC2)NC3=CC=CC=C31,10.58612556
O=C1C=C(CCCCCCCCC#C)NC2=CC=CC=C21,20.14217469
O=C1C=C(CCCCCCC)NC2=CC=C(F)C=C21,18.76491528
O=C1C=C(CCCCCCC)NC2=C(F)C=CC=C21,12.6076524
O=C1C=C(CCCCCCC)NC2=C(C)C=CC=C21,16.40913086
O=C1C=C(CCCCCCC)NC2=C(Cl)C=C(Cl)C=C21,2.94128625
O=C1C(C)=C(CCCCCCC)NC2=CC=CC=C21,88.63912532
O=C1C(C=O)=C(CCCCCCC)NC2=CC=CC=C21,47.09387042
O=C1C(I)=C(CCCCCCC)NC2=CC=CC=C21,4.76236877
O=C1C(Br)=C(CCCCCCC)NC2=CC=CC=C21,12.672004
O=C1NC(CCCCCCC)=CC2=CC=CC=C21,22.44154814
O=C1C(O)=C(CCCCCCC)NC2=CC=CC=C21,93.99734127
O=C1C(O)=C(CCCCCCC)NC2=CC=C(C)C=C21,94.54389147
O=C1C(O)=C(CCCCCCCCC)NC2=CC=CC=C21,93.54247143
O=C1C(O)=C(CCC2CCCCC2)NC3=CC=CC=C31,94.76976081
O=C1C(O)=C(CCCCCCC)NC2=C(C)C=CC=C21,96.33892275
O=C1C(O)=C(CCCCCCC)NC2=C(F)C=CC=C21,94.71808415
O=C1C(O)=C(CCCCCCC)OC2=CC=CC=C21,94.11013817
O=C1C(O)=C(CCCCCCCCC#C)NC2=CC=CC=C21,90.33653956
O=C1C(O)=C(CCCCC)NC2=CC=CC=C21,86.04988163
O=C1C(O)=C(CCCCCCC)NC2=CC(C)=CC(C)=C21,83.37404259
O=C1C(O)=C(CCCCCCC)NC2=CC=C(OC)C=C21,79.76208697
O=C1C(O)=C(C2=CC=CC=C2)NC3=CC=CC=C31,72.92894447
O=C1C(O)=C(CCCCCCC)NC2=C(Cl)C=C(Cl)C=C21,70.94058286
O=C1C(O)=C(CCC2=CC=CC=C2)NC3=CC=CC=C31,60.85105925
