combination,r2,q2,mae,rmsd,threshold
"('cross', 'cross_angle', 'para', 'para_angle')",0.2480417068313111,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'Frequency_Bending_17-18')",0.26916232332921486,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'Cross_mag_Bending_17-18')",0.4717001902154023,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_x_11-6-4')",0.28678290480071267,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_y_11-6-4')",0.26310303607141194,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_z_11-6-4')",0.35858052313522804,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'total_dipole_11-6-4')",0.2500439872062322,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_x_10-11-12')",0.2500279033713847,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_y_10-11-12')",0.30562700945099297,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_z_10-11-12')",0.30983063022424073,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'total_dipole_10-11-12')",0.2500439872062322,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_x_11-12-5')",0.291189585713977,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_y_11-12-5')",0.257332875995143,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_z_11-12-5')",0.3047874580232738,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'total_dipole_11-12-5')",0.2500439872062322,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_x_4-5-1')",0.30256955555448006,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_y_4-5-1')",0.2517093812171307,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_z_4-5-1')",0.2661246424366822,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'total_dipole_4-5-1')",0.2500439872062322,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_x_4-3-2')",0.2648912081304746,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_y_4-3-2')",0.2742624738540784,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_z_4-3-2')",0.33390060675812583,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'total_dipole_4-3-2')",0.2500439872062322,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_x_1-2-3')",0.2880774093857895,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_y_1-2-3')",0.24843119400711278,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'dipole_z_1-2-3')",0.3316068996943977,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'total_dipole_1-2-3')",0.2500439872062322,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_3')",0.4214547632265716,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_5')",0.31033829229905807,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_11')",0.3154955492204603,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_12')",0.24817339779271985,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_4')",0.5402791608058031,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_6')",0.33644149700583625,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_20')",0.2557150889399291,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_21')",0.2533021000356729,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_22')",0.3970992917503223,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_atom_7')",0.2658464958425183,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_3')",0.5191540585697487,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_5')",0.3090331575609979,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_11')",0.34944790019457306,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_12')",0.25148570135442916,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_4')",0.5352443461143946,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_6')",0.2572016996458121,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_20')",0.31389837396684084,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_21')",0.25804640104218746,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_22')",0.44710970757275115,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_atom_7')",0.3136915993005943,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_diff_3-5')",0.40495492476657824,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_diff_5-12')",0.3396870010774854,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'nbo_diff_3-11')",0.4680278405717193,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_diff_3-5')",0.48243953957221974,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_diff_5-12')",0.3387256009976204,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'hirshfeld_diff_3-11')",0.5794712199057221,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'B1_4-6')",0.24736425353174496,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'B5_4-6')",0.28188003212019064,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'L_4-6')",0.2527169364570929,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'loc_B5_4-6')",0.25954015304475386,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'B1_B5_angle_4-6')",0.24732777576289866,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'B1_6-4')",0.32114161120520224,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'B5_6-4')",0.46160046000166755,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'L_6-4')",0.24732150651564422,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'loc_B5_6-4')",0.2570525090534197,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'B1_B5_angle_6-4')",0.25220237524803035,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'angle_[11, 6, 4]')",0.2588347988070001,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'angle_[6, 4, 5]')",0.4077478843505733,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'angle_[1, 5, 4]')",0.4302962339813253,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'bond_length_11-6')",0.41980188291625564,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'bond_length_6-4')",0.3320631050706504,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'bond_length_1-5')",0.2538228239014161,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'bond_length_22-23')",0.2660327540758699,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'aniso')",0.33307188964572754,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'iso')",0.2552189854529686,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'energy')",0.2809013736534828,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'Frequency_Stretch_12_21')",0.2766739098145041,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para', 'Amplitude_Stretch_12_21')",0.2526154081513041,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'Frequency_Bending_17-18')",0.2677748658888407,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'Cross_mag_Bending_17-18')",0.4607540859446032,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_11-6-4')",0.28699577708660307,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_11-6-4')",0.265818181518069,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_11-6-4')",0.36296322200440545,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_11-6-4')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_10-11-12')",0.2535595770869411,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_10-11-12')",0.2947413120167639,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_10-11-12')",0.3106495440085152,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_10-11-12')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_11-12-5')",0.2868831938162557,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_11-12-5')",0.25699499088879607,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_11-12-5')",0.30441297116464283,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_11-12-5')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_4-5-1')",0.2936088614867245,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_4-5-1')",0.25069704630921985,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_4-5-1')",0.2673814765358521,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_4-5-1')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_4-3-2')",0.26429547769058004,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_4-3-2')",0.2769862919202096,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_4-3-2')",0.3337947796555508,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_4-3-2')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_1-2-3')",0.28000286656947604,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_1-2-3')",0.24982091423298047,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_1-2-3')",0.3436400566477049,-inf,inf,inf,0.7
