combination,r2,q2,mae,rmsd,threshold,model,predictions
"('cross', 'para')",0.5127555505341399,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.69051509 0.86109433 0.76234631 0.93763417 0.93219719 1.02779784
 0.7778714  0.79982355 0.61337803 0.59019781 0.80438214 0.63104195
 0.62338653 0.52290914 0.82926449]"
"('cross', '-1-2-')",0.15642803321708265,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.78109264 0.81235393 0.78655864 0.67481675 0.81236434 0.84091524
 0.80358225 0.81866181 0.77139259 0.80166369 0.78446158 0.63049012
 0.6455268  0.59803978 0.84191981]"
"('cross', '-2-3-')",0.17466010063502613,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.7874074  0.81653891 0.80465463 0.68721233 0.81268935 0.79442854
 0.80625603 0.83539926 0.78718529 0.81818758 0.79257543 0.55504465
 0.66048566 0.62594195 0.81983296]"
"('cross', '-2-9-')",0.1568281105352165,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.77931575 0.81064944 0.78508597 0.67055831 0.81991189 0.84629091
 0.80593879 0.81678083 0.76838879 0.79676811 0.78281594 0.63021494
 0.65172932 0.59804622 0.84134477]"
"('cross', '-1-10-')",0.248729639939123,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.82620186 0.86081013 0.83231073 0.70927605 0.86014322 0.76340847
 0.72205413 0.86754146 0.8153849  0.72059575 0.70181556 0.65955466
 0.54796091 0.62359986 0.89318228]"
"('cross', '-9-16-')",0.17903334799234882,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.76160206 0.80047142 0.7681655  0.70477149 0.79968466 0.83469409
 0.86201806 0.80827813 0.74971271 0.78767038 0.84032544 0.57386328
 0.66733461 0.60812978 0.83711838]"
"('cross', '-17-18-')",0.16457098587957208,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.78722576 0.81685154 0.7926376  0.68691121 0.81625653 0.8430269
 0.80778087 0.82304612 0.77829939 0.80735061 0.73680146 0.64440011
 0.60496948 0.61362865 0.84465374]"
"('cross', '-18-19-')",0.182962265730085,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.81330773 0.83980785 0.73417836 0.69797514 0.84180593 0.83065673
 0.74019496 0.78711513 0.7761674  0.77611273 0.82285857 0.6360831
 0.62387957 0.59875056 0.88494622]"
"('cross', '-18-20-')",0.29441441746848573,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.69519184 0.88907881 0.85480893 0.69663399 0.88814439 0.92860321
 0.87744774 0.72566695 0.65975519 0.70107988 0.84963223 0.63398529
 0.65585133 0.58848726 0.75947294]"
"('cross', 'Dist_1-2')",0.48068512815951026,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.69589127 0.81481132 0.71747061 0.7552486  0.91470618 0.95393102
 0.78049215 1.07586601 0.64698029 0.57719282 0.70762309 0.67410404
 0.5858711  0.64607256 0.85757891]"
