"X41","X42","X43"
0.04,0,0.03
0.15,0.29,-0.18
0.27,0.16,-0.1
-0.06,0.07,-0.01
-0.03,-0.04,0.02
0.02,-0.06,0.01
-0.19,0.05,0.06
0.03,0.14,-0.06
0.04,-0.06,-0.03
0,-0.02,0.02
-0.05,-0.07,0.04
-0.02,-0.04,0.02
0.01,0.03,0
0.11,0.14,-0.12
0.02,0.06,-0.08
-0.21,-0.09,-0.05
0.03,-0.01,0.02
-0.14,-0.32,0.23
-0.26,-0.01,-0.12
-0.07,-0.03,0.02
0.05,0.15,-0.03
-0.01,-0.16,0.08
-0.25,-0.32,0.24
0.04,0.18,-0.02
0,0.17,0.2
-0.02,-0.02,-0.01
0.2,-0.09,-0.07
0.18,0.24,-0.16
-0.01,0.18,-0.07
0.05,0.07,-0.06
0.06,0.2,-0.13
-0.2,-0.27,0.16
0.28,0.45,-0.27
0.02,0.11,0.06
0.13,0.2,-0.13
-0.05,0.05,0.03
-0.15,-0.03,0.16
-0.1,-0.23,0.1
0.12,0.21,-0.12
-0.19,-0.23,0.16
0.1,0.16,-0.1
0.04,0.09,-0.04
0.36,-0.07,0.3
-0.02,0.01,-0.01
-0.13,0.07,-0.03
0.07,-0.04,0
0.18,-0.1,0.03
0.31,-0.16,0.07
-0.17,0.09,-0.04
0.31,-0.12,0.14
-0.02,0.02,0.01
0.43,-0.19,0.14
-0.1,0.04,-0.03
-0.18,0.12,0.02
0.03,-0.02,0
0.19,-0.1,0.03
0.12,-0.06,0.03
0.05,-0.03,0
-0.38,0.13,-0.18
0.23,-0.11,0.06
-0.13,0.06,-0.04
-0.06,0.05,0.01
-0.03,0.01,-0.01
0.26,-0.11,0.09
-0.01,0,-0.01
0,0,0
0.08,-0.02,0.04
-0.29,0.07,-0.19
-0.02,0.01,-0.01
0,0,0
-0.02,0.01,-0.01
0.36,-0.18,0.07
-0.22,0.11,-0.05
0.14,-0.11,-0.04
0.14,-0.11,-0.04
-0.25,0.05,-0.17
0.1,-0.02,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.01,-0.02
-0.03,0.43,0.67
0,-0.03,-0.05
0,-0.01,-0.02
-0.03,0.32,0.49
0,0,0
0,-0.01,-0.01
0,0,0
0,0,0
0,0,0
