"X12","X13"
24.4163,1.0193
34.8235,0.7197
47.4004,0.1248
105.5983,0.6357
161.382,0.4486
187.1121,1.2271
245.7876,0.2534
258.2987,0.7193
313.3474,2.6647
322.7509,101.8098
325.9531,92.3167
345.2575,5.762
349.7094,1.5929
414.6261,10.5066
422.1388,3.7223
424.3393,0.6437
426.671,1.7663
464.6233,4.4992
509.4017,3.3936
534.6955,14.7331
563.6583,30.456
595.0126,15.1233
653.9004,0.1408
657.1286,0.4008
712.7133,0.9577
751.6455,2.6907
768.9704,1.6774
788.3623,16.5709
838.9552,12.0851
841.0204,5.4522
859.6647,18.8879
864.9043,49.4076
870.5419,26.973
872.6954,5.0253
967.6924,0.5968
970.314,0.1962
984.8889,0.3393
986.3102,0.0661
1004.4064,1.5283
1035.0955,6.5305
1038.0285,0.5052
1069.0047,3.2871
1097.2961,12.5197
1129.2349,12.5204
1141.5986,11.977
1188.6458,149.5249
1193.1986,163.462
1196.5782,18.5669
1201.7822,20.2326
1224.5733,12.2832
1235.5496,4.0907
1292.0336,12.3958
1310.2022,113.0004
1313.3652,97.7476
1324.0964,59.1488
1347.1682,3.6774
1354.6033,15.4042
1361.3101,33.1008
1367.4772,3.2203
1404.6757,5.9995
1479.1133,22.2535
1484.8782,20.7956
1497.5968,8.7546
1504.8984,3.3203
1564.4925,194.0051
1568.1944,72.0816
1665.6836,23.1234
1669.3941,1.4328
1690.6044,52.6595
1693.8374,39.8213
3049.91,9.3139
3060.6137,17.1517
3133.6757,20.9354
3143.494,20.8095
3183.5619,13.6245
3184.2814,14.5304
3188.6925,5.0636
3199.8131,6.7786
3201.5862,4.0687
3217.5018,3.4274
3227.915,3.2025
3232.4585,3.231
3875.2499,82.3681
3876.0312,80.3311
