"X12","X13"
33.8751,0.6797
34.3812,0.5259
53.3111,0.7219
76.5237,0.0519
87.7426,0.069
131.8193,0.6705
166.9051,0.4652
179.0137,0.4069
216.093,0.0209
246.1646,0.5557
251.2237,0.2399
283.5402,0.2886
319.3795,94.7204
331.2578,101.1906
342.3824,0.0047
350.1858,5.0258
388.9226,0.9998
397.5222,7.2346
424.7328,0.3239
426.5917,0.5839
429.6034,5.8496
437.0171,3.1274
466.3626,3.8802
522.5639,3.3004
555.8715,22.3671
564.659,30.4802
600.0665,18.5417
654.4634,0.2794
656.4418,0.8311
739.1753,0.4167
752.1951,2.9405
801.2342,5.5935
822.1334,5.183
837.2433,10.7663
839.392,11.3756
855.8923,20.7865
863.5088,43.2305
868.5218,21.0294
895.6363,1.6834
898.2432,8.1405
938.9532,2.9214
959.7492,0.588
963.9354,0.3312
979.1972,0.0267
981.7547,0.6995
987.3847,1.6248
994.4022,1.2451
1037.3015,1.4763
1037.66,1.3614
1118.5972,12.5622
1129.7249,6.0876
1147.3238,7.9746
1151.4176,10.3132
1189.6739,73.0691
1192.121,208.2194
1197.195,64.0757
1198.3189,8.6105
1203.8483,1.0905
1226.1507,12.5618
1231.2253,2.2034
1275.919,15.5567
1295.3221,3.4652
1313.013,181.5868
1315.0186,80.7829
1331.5908,6.1558
1347.7855,13.5527
1351.8835,12.5318
1358.2211,22.668
1368.3675,7.346
1386.5206,4.6553
1402.2156,3.2069
1421.4881,10.9651
1483.2672,17.2368
1484.2873,17.2041
1488.354,9.527
1492.7168,0.9299
1503.3892,4.0478
1513.6736,13.4573
1563.5157,188.9592
1568.3976,73.4977
1667.169,23.528
1667.4385,2.4594
1690.2454,58.7445
1693.3963,36.0557
3035.8559,2.6121
3049.3917,5.3867
3052.6994,13.8492
3059.7958,49.2319
3119.1058,3.4316
3125.1338,42.2658
3146.2384,20.2603
3149.2807,22.3928
3183.5412,17.0425
3184.3135,13.3976
3189.6918,4.8757
3200.5763,8.1698
3203.5962,4.059
3204.8201,5.8836
3224.4503,3.012
3227.595,2.3851
3874.0294,89.9802
3875.536,79.6557
