"X107","X108","X109"
-0.01,0.06,0.03
0.01,0.02,-0.08
-0.01,0.14,0.17
-0.06,0.23,0.23
-0.08,0,-0.39
0.07,0,0.17
-0.06,0.09,0.04
-0.02,0.08,0.01
-0.01,0.12,-0.14
0.05,0.02,0.31
0.03,-0.09,0.44
-0.03,0.22,-0.35
0,-0.01,0.02
0,0,-0.01
0.22,0.45,-0.19
0.03,0.23,-0.26
-0.01,0.29,-0.2
-0.02,-0.11,-0.16
0,0.05,-0.03
0.01,0.04,0.02
0.02,0.13,0.01
0,-0.15,-0.13
-0.01,0.17,-0.15
0.04,0.07,0
-0.04,-0.01,0.02
0.07,0.09,-0.01
-0.02,0.01,0.01
0,0,-0.02
-0.01,0.02,-0.04
0,-0.01,0.02
-0.02,-0.03,0.02
0.01,-0.02,0.08
-0.04,-0.06,0.05
-0.03,-0.01,-0.03
-0.01,-0.01,0
-0.12,-0.07,-0.09
-0.07,-0.05,-0.04
-0.09,-0.04,-0.08
0.12,0.06,0.1
0.3,0.24,0.06
-0.3,-0.24,-0.21
0.13,0.11,0.01
0.12,0.11,0.01
-0.13,-0.2,0.11
-0.11,-0.08,-0.01
-0.09,-0.09,0.01
-0.09,-0.09,0.03
0.02,0.01,0
0,-0.01,0.02
-0.03,0.01,-0.09
-0.02,-0.02,0
-0.12,-0.15,0.1
-0.19,-0.13,-0.09
-0.02,-0.02,0
-0.07,-0.04,-0.05
0.11,0.09,0.02
0.1,0.08,0.01
0.11,0.09,0
0.02,0,0.04
-0.01,0.01,-0.05
0.03,-0.01,0.1
0,0.06,-0.13
-0.02,-0.01,-0.04
0.01,0.02,-0.01
0.02,0.03,-0.06
0.14,0.08,0.1
0.02,0,0.05
-0.07,-0.06,-0.01
-0.05,-0.04,0
0.05,0.02,0.1
0.21,0.32,0.11
0.22,0.3,0.11
0.11,0.09,0.2
-0.06,-0.01,-0.19
-0.11,-0.03,-0.34
0.08,0.27,-0.32
-0.17,-0.24,-0.1
0,-0.21,0.45
0,-0.01,0.01
0,0,0
0,0,-0.01
0,0,0.01
0,-0.01,0.01
0,0,0.01
0,0,0
0.22,-0.16,-0.08
-0.18,0.13,0.06
0.16,-0.12,-0.05
0.19,-0.14,-0.04
0.15,-0.11,-0.04
0.68,-0.48,-0.22
-0.07,0.05,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
