SMILES,Output,ddG_kcal_mol
O=C1C=C(CCCCCCC)NC2=CC=CC=C21,4.12498989,-0.04890261374887949
O=C1C=C(CCCCCCCCC)NC2=CC=CC=C21,96.10123015,-2.3210996113125986
O=C1C=C(CCCCCCC)OC2=CC=CC=C21,70.77410536,-1.0457982031325481
O=C1C=C(CCCCCCC)NC2=CC=C(C)C=C21,31.44120271,-0.38558979274451816
O=C1C=C(CCCCCCC)NC2=CC=C(OC)C=C21,29.08481711,-0.3548531963293146
O=C1C=C(CCCCCCC)NC2=CC(C)=CC(C)=C21,53.66880496,-0.7103070615449391
O=C1C=C(CCCCC)NC2=CC=CC=C21,-2.4915766,0.029527509197568323
O=C1C=C(CCC2=CC=CC=C2)NC3=CC=CC=C31,-3.8061877,0.045119339295957676
O=C1C=C(CCC2CCCCC2)NC3=CC=CC=C31,10.58612556,-0.12590122982403623
O=C1C=C(CCCCCCCCC#C)NC2=CC=CC=C21,20.14217469,-0.24196254653537344
O=C1C=C(CCCCCCC)NC2=CC=C(F)C=C21,18.76491528,-0.22500194666028644
O=C1C=C(CCCCCCC)NC2=C(F)C=CC=C21,12.6076524,-0.15018065282359908
O=C1C=C(CCCCCCC)NC2=C(C)C=CC=C21,16.40913086,-0.19619703164431515
O=C1C=C(CCCCCCC)NC2=C(Cl)C=C(Cl)C=C21,2.94128625,-0.03485982917309175
O=C1C(C)=C(CCCCCCC)NC2=CC=CC=C21,88.63912532,-1.6645103892653574
O=C1C(C=O)=C(CCCCCCC)NC2=CC=CC=C21,47.09387042,-0.6057842514590853
O=C1C(I)=C(CCCCCCC)NC2=CC=CC=C21,4.76236877,-0.05646955301320674
O=C1C(Br)=C(CCCCCCC)NC2=CC=CC=C21,12.672004,-0.1509555009428803
O=C1NC(CCCCCCC)=CC2=CC=CC=C21,22.44154814,-0.27050193998684535
O=C1C(O)=C(CCCCCCC)NC2=CC=CC=C21,93.99734127,-2.059053887140479
O=C1C(O)=C(CCCCCCC)NC2=CC=C(C)C=C21,94.54389147,-2.117277338799233
O=C1C(O)=C(CCCCCCCCC)NC2=CC=CC=C21,93.54247143,-2.014390058887128
O=C1C(O)=C(CCC2CCCCC2)NC3=CC=CC=C31,94.76976081,-2.1430117344546273
O=C1C(O)=C(CCCCCCC)NC2=C(C)C=CC=C21,96.33892275,-2.359082881014552
O=C1C(O)=C(CCCCCCC)NC2=C(F)C=CC=C21,94.71808415,-2.1370298937420067
O=C1C(O)=C(CCCCCCC)OC2=CC=CC=C21,94.11013817,-2.07063650012335
O=C1C(O)=C(CCCCCCCCC#C)NC2=CC=CC=C21,90.33653956,-1.7656854958384935
O=C1C(O)=C(CCCCC)NC2=CC=CC=C21,86.04988163,-1.5346903933176619
O=C1C(O)=C(CCCCCCC)NC2=CC(C)=CC(C)=C21,83.37404259,-1.4221511611043098
O=C1C(O)=C(CCCCCCC)NC2=CC=C(OC)C=C21,79.76208697,-1.2938994513449873
O=C1C(O)=C(C2=CC=CC=C2)NC3=CC=CC=C31,72.92894447,-1.0986004528859281
O=C1C(O)=C(CCCCCCC)NC2=C(Cl)C=C(Cl)C=C21,70.94058286,-1.049759673907584
O=C1C(O)=C(CCC2=CC=CC=C2)NC3=CC=CC=C31,60.85105925,-0.8371576674597387
