filename,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,output
HHQ.xyz,-9.186951794,2.910778509,-11.89672237,-5.560620271,7.200793032,-3.184690804,0.286610142,-5.563549222,-1.1343496,-0.272410533,0.835998161,0.001259842,0.932283029,-0.872293987,-3.145022769,-1.653241946,-1.563087664,-3.965045953,-0.597597664,-0.346999108,-0.048902614
MD-106.xyz,-8.950294958,1.183327249,-11.82157831,-3.669810091,7.731309136,-4.580470772,2.253696075,-8.913614005,-1.048185817,-0.374564663,-3.155600301,2.757274636,-1.694317371,0.233556457,-9.837425447,-0.211604276,14.43624606,6.401684746,-0.480392021,-0.660714453,-2.321099611
MD-108.xyz,-7.134411907,-2.076595866,14.64687622,3.552055077,-0.598560503,-7.406140498,5.312765378,-7.609017638,1.883101388,-0.801741178,-3.698979525,1.383343344,-2.464992939,-0.284665689,-10.88089897,0.45100784,12.16848938,5.443461492,0.156041977,-0.494097019,-1.045798203
MD-124.xyz,-6.771619254,-0.228735589,15.13896658,3.389474057,-2.102403191,0.431735348,2.538553833,-3.69075936,1.506518013,1.743615326,7.441168603,1.785315791,4.696428482,-1.965995196,-2.972341984,-0.919620005,-10.21351877,10.90767516,0.361706353,-1.293102295,-0.385589793
MD-125.xyz,-4.900456002,0.421838071,15.77033862,1.978164802,-5.604197867,6.638377342,-5.460963453,5.274377714,0.610917152,13.73240996,4.316743096,-0.310566682,15.99730278,4.768213262,-0.144340669,3.130882829,3.946112037,-1.831680395,1.769326106,-1.405032449,-0.354853196
MD-24.xyz,-8.956686198,1.861935903,-13.21734941,-3.58913816,7.396222694,-3.695142901,0.11534125,-6.365218746,-1.262416285,-0.569155503,1.136630789,-0.120672754,0.964337854,-1.505610476,-5.408071186,-0.721877968,-3.727084639,-10.23636527,-1.059247662,-0.898463501,-0.710307062
MD-25.xyz,5.703604462,-17.47307381,-28.72772039,44.62447606,-3.235331846,2.321661932,-4.465519313,2.773312797,-1.003799416,-1.588518674,1.913485156,0.533130557,-1.420612404,-0.431561887,-3.560089157,17.1672385,-2.186923547,0.717257755,-0.118847007,-0.206703699,0.029527509
MD-28.xyz,-9.186951794,2.910778509,-11.89672237,-5.560620271,7.200793032,-3.184690804,0.286610142,-5.563549222,-1.1343496,-0.272410533,0.835998161,0.001259842,0.932283029,-0.872293987,-3.145022769,-1.653241946,-1.563087664,-3.965045953,-0.597597664,-0.346999108,0.045119339
MD-37.xyz,-7.936018818,-0.120418579,-11.40542648,-1.293469671,7.420493867,-5.491422738,1.693388622,-10.76664812,-0.286609434,0.95824783,-13.66581162,11.29498609,3.662786619,3.9724875,13.1422756,2.244823675,-0.57555988,1.102503188,0.173828422,0.693015949,-0.12590123
MD-38.xyz,-7.408432959,-0.63629727,15.26417808,2.436766998,-1.20252674,-6.208439014,3.484266037,-4.50850604,1.812126441,-0.713568847,-0.141488645,-1.003224413,-0.069062603,-1.297495733,-4.686456066,0.603801204,-2.837469805,-3.946436144,0.229999882,-0.117803077,-0.241962547
