Models list | formula                          |       R.sq |           Q.sq |         MAE |   Model_id |
|:---------------------------------|-----------:|---------------:|------------:|-----------:|
| ('PC2', 'PC4', 'PC8', 'PC17')    | 0.440224   |    0.275308    |    0.610313 |          0 |
| ('PC2', 'PC4', 'PC8', 'PC10')    | 0.423698   |    0.268782    |    0.620759 |          1 |
| ('PC2', 'PC4', 'PC8', 'PC20')    | 0.358633   |    0.2377      |    0.637289 |          2 |
| ('PC2', 'PC4', 'PC8', 'PC13')    | 0.404031   |    0.232824    |    0.607786 |          3 |
| ('PC2', 'PC4', 'PC6', 'PC8')     | 0.385636   |    0.232536    |    0.654409 |          4 |
| ('PC2', 'PC4', 'PC8', 'PC19')    | 0.369804   |    0.231924    |    0.633607 |          5 |
| ('PC2', 'PC4', 'PC7', 'PC8')     | 0.382298   |    0.228984    |    0.64975  |          6 |
| ('PC2', 'PC4', 'PC10', 'PC17')   | 0.381383   |    0.228616    |    0.635465 |          7 |
| ('PC2', 'PC8', 'PC10', 'PC17')   | 0.442114   |    0.218597    |    0.632639 |          8 |
| ('PC2', 'PC4', 'PC8', 'PC12')    | 0.368831   |    0.211553    |    0.634301 |          9 |
| ('PC2', 'PC4', 'PC8', 'PC18')    | 0.37831    |    0.209516    |    0.663509 |         10 |
| ('PC2', 'PC3', 'PC4', 'PC8')     | 0.355114   |    0.207185    |    0.657931 |         11 |
| ('PC2', 'PC8', 'PC10', 'PC13')   | 0.405921   |    0.2035      |    0.620788 |         12 |
| ('PC2', 'PC4', 'PC8', 'PC11')    | 0.356218   |    0.202759    |    0.661898 |         13 |
| ('PC1', 'PC2', 'PC8', 'PC10')    | 0.391414   |    0.195313    |    0.664117 |         14 |
| ('PC2', 'PC4', 'PC8', 'PC15')    | 0.354895   |    0.194119    |    0.665437 |         15 |
| ('PC2', 'PC8', 'PC13', 'PC17')   | 0.422446   |    0.192424    |    0.636434 |         16 |
| ('PC1', 'PC2', 'PC8', 'PC17')    | 0.40794    |    0.191879    |    0.677368 |         17 |
| ('PC2', 'PC6', 'PC8', 'PC10')    | 0.387526   |    0.191043    |    0.682068 |         18 |
| ('PC2', 'PC6', 'PC8', 'PC17')    | 0.404051   |    0.190784    |    0.665818 |         19 |
| ('PC2', 'PC4', 'PC13', 'PC17')   | 0.361715   |    0.190199    |    0.624917 |         20 |
| ('PC2', 'PC7', 'PC8', 'PC10')    | 0.384188   |    0.18774     |    0.679189 |         21 |
| ('PC2', 'PC4', 'PC6', 'PC17')    | 0.34332    |    0.186908    |    0.684912 |         22 |
| ('PC2', 'PC8', 'PC17', 'PC19')   | 0.38822    |    0.186414    |    0.648298 |         23 |
| ('PC2', 'PC8', 'PC17', 'PC20')   | 0.377048   |    0.185004    |    0.651797 |         24 |
| ('PC2', 'PC7', 'PC8', 'PC17')    | 0.400714   |    0.184144    |    0.654243 |         25 |
| ('PC2', 'PC8', 'PC17', 'PC18')   | 0.396725   |    0.182547    |    0.703344 |         26 |
| ('PC2', 'PC4', 'PC17', 'PC18')   | 0.335994   |    0.181539    |    0.689168 |         27 |
| ('PC1', 'PC2', 'PC8', 'PC9')     | 0.325609   |    0.180924    |    0.914166 |         28 |
| ('PC2', 'PC8', 'PC10', 'PC19')   | 0.371694   |    0.179728    |    0.676226 |         29 |
| ('PC2', 'PC4', 'PC10', 'PC13')   | 0.345189   |    0.178896    |    0.658504 |         30 |
| ('PC2', 'PC4', 'PC17', 'PC19')   | 0.327488   |    0.174987    |    0.674362 |         31 |
| ('PC2', 'PC3', 'PC4', 'PC17')    | 0.312799   |    0.173557    |    0.674111 |         32 |
| ('PC2', 'PC4', 'PC6', 'PC10')    | 0.326794   |    0.173061    |    0.692188 |         33 |
| ('PC2', 'PC4', 'PC7', 'PC17')    | 0.339983   |    0.172232    |    0.680711 |         34 |
| ('PC2', 'PC8', 'PC10', 'PC18')   | 0.3802     |    0.171521    |    0.684529 |         35 |
| ('PC1', 'PC2', 'PC8', 'PC13')    | 0.371747   |    0.171487    |    0.655292 |         36 |
| ('PC1', 'PC2', 'PC6', 'PC8')     | 0.353352   |    0.171401    |    0.698524 |         37 |
| ('PC2', 'PC4', 'PC11', 'PC17')   | 0.313902   |    0.17051     |    0.669993 |         38 |
| ('PC1', 'PC2', 'PC8', 'PC19')    | 0.33752    |    0.169473    |    0.677233 |         39 |
| ('PC2', 'PC8', 'PC11', 'PC17')   | 0.374634   |    0.167452    |    0.671294 |         40 |
| ('PC2', 'PC8', 'PC13', 'PC20')   | 0.340855   |    0.167193    |    0.676502 |         41 |
| ('PC2', 'PC8', 'PC12', 'PC17')   | 0.387247   |    0.167088    |    0.653574 |         42 |
| ('PC2', 'PC6', 'PC8', 'PC13')    | 0.367858   |    0.16707     |    0.6573   |         43 |
