combination,r2,q2,mae,rmsd,threshold
"('PC1', 'PC2', 'PC3', 'PC4')",0.2620988221353231,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC5')",0.20830983793087232,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC6')",0.22592597447073648,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC7')",0.22258873673278612,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC8')",0.32283034018739554,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC9')",0.19818305654426904,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC10')",0.26398875515255116,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC11')",0.1965083347871328,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC12')",0.20912118731686868,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC13')",0.24432099128551132,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC14')",0.2143096597998546,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC15')",0.19518534952126,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC16')",0.1951916761610012,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC17')",0.2805146136823936,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC18')",0.2186000708281074,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC19')",0.21009428705716648,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC3', 'PC20')",0.19892304465875388,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC5')",0.27500391874093477,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC6')",0.29262005528628987,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC7')",0.28928281754935226,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC8')",0.38952442100416584,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC9')",0.2648771373591837,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC10')",0.3306828359675812,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC11')",0.26320241560189583,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC12')",0.27581526813102675,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC13')",0.3110150720986806,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC14')",0.28100374061392885,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC15')",0.26187943033625427,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC16')",0.2618857569759582,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC17')",0.3472086944949053,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC18')",0.2852941516416393,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC19')",0.2767883678728076,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC4', 'PC20')",0.26561712547398286,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC6')",0.23883107108071022,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC7')",0.23549383334246887,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC8')",0.33573543679696616,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC9')",0.21108815315463336,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC10')",0.27689385176175907,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC11')",0.20941343139728963,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC12')",0.22202628392682766,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC13')",0.2572260878960392,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC14')",0.2272147564099527,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC15')",0.20809044613131378,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC16')",0.208096772771041,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC17')",0.29341971029355796,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC18')",0.23150516743745386,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC19')",0.22299938366726957,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC5', 'PC20')",0.2118281412691606,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC6', 'PC7')",0.25310996988323786,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC6', 'PC8')",0.3533515733372582,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC6', 'PC9')",0.22870428969421386,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC6', 'PC10')",0.2945099883051502,-inf,inf,inf,0.85
