,B1_17-18,B5_17-18,L_17-18,loc_B5_17-18,B1_B5_angle_17-18,B1_28-16,B5_28-16,L_28-16,loc_B5_28-16,B1_B5_angle_28-16,B1_5-6,B5_5-6,L_5-6,loc_B5_5-6,B1_B5_angle_5-6,B1_12-5,B5_12-5,L_12-5,loc_B5_12-5,B1_B5_angle_12-5,B1_2-3,B5_2-3,L_2-3,loc_B5_2-3,B1_B5_angle_2-3,B1_14-13,B5_14-13,L_14-13,loc_B5_14-13,B1_B5_angle_14-13,PC1,PC2,PC3,output
HHQ_optimized,1.7099,5.0975,12.9218,11.374,107.8605,1.7091,6.3238,14.692,13.1312,103.6587,1.6991,5.4055,8.6745,7.0459,103.6789,1.6994,6.7277,9.5621,6.8764,97.2704,1.6992,5.6441,10.7541,-2.5481,91.9545,1.7085,8.0489,11.5673,8.8385,97.307,-9.186951794,2.910778509,-11.89672237,-0.048902614
MD-106_optimized,1.7072,11.1743,10.3702,8.7322,176.3653,1.7058,11.33,12.1491,10.5039,169.4548,1.6991,11.0699,6.254,4.7915,172.4479,1.6994,11.753,5.3341,4.3195,159.0449,1.6992,11.1513,8.2693,6.6079,179.9286,1.7075,12.2107,7.3932,6.3858,154.9496,-8.950294958,1.183327249,-11.82157831,-2.321099611
MD-108_optimized,1.7103,6.386,13.2357,9.9219,147.8778,1.7092,6.1143,15.0095,10.3112,159.4067,1.6991,6.1559,8.9118,6.1339,177.0035,1.6997,9.0428,8.2055,3.5069,111.699,1.6992,6.9485,11.101,7.8918,142.3416,1.7061,10.2451,10.1153,5.3539,109.3666,-7.134411907,-2.076595866,14.64687622,-1.045798203
MD-124_optimized,2.1875,4.385,12.8279,1.9032,95.4083,2.2822,5.4786,15.0611,6.0641,113.2861,1.942,3.6536,8.6528,5.9259,118.2478,2.1812,7.821,7.2879,4.3012,81.1222,1.8733,5.6461,10.7258,-2.548,114.8752,2.1537,9.1158,9.2594,6.1806,83.4281,-6.771619254,-0.228735589,15.13896658,-0.385589793
MD-125_optimized,1.7459,6.3083,11.7512,10.3274,163.1593,1.812,6.1263,13.5514,9.9207,169.5555,1.6991,6.104,7.7418,6.2842,152.2906,1.8676,8.8893,5.0628,3.1825,132.4524,1.6993,6.8438,9.6837,-0.6999,99.061,1.7031,9.9407,7.205,4.5512,113.4998,-4.900456002,0.421838071,15.77033862,-0.354853196
MD-24_optimized,1.7024,6.0765,9.4626,8.2629,168.9591,1.7013,5.9911,11.2434,10.0464,176.5761,1.6991,5.9455,5.3805,4.2061,161.6873,1.6994,7.3358,4.5555,2.7815,139.4326,1.6992,6.34,7.391,6.1936,160.4524,1.7014,8.1688,6.5638,4.7859,133.9609,-8.956686198,1.861935903,-13.21734941,-0.710307062
MD-25_optimized,1.7097,4.3886,12.5869,1.9008,90.6254,1.7089,4.886,14.3682,3.3367,90.679,1.6991,3.5866,8.4327,3.7138,121.7912,1.6994,7.6247,7.2366,4.9915,101.2346,1.6992,5.6441,10.4915,-2.5481,91.9535,1.7083,8.8851,9.2356,6.9391,101.0273,5.703604462,-17.47307381,-28.72772039,0.029527509
MD-28_optimized,2.409,4.3886,15.0485,1.9008,73.6256,2.0562,4.886,16.8202,3.3367,107.6803,1.9177,3.9776,10.8057,7.7186,89.2207,2.6887,8.982,9.5103,6.9484,104.2779,2.5449,5.6441,12.8898,-2.5481,171.0517,2.1198,10.3225,11.4341,8.8503,101.1576,-9.186951794,2.910778509,-11.89672237,0.045119339
MD-37_optimized,1.7094,5.8326,11.7356,8.8455,173.894,1.7078,6.1175,13.5081,10.6206,160.2301,1.6991,5.7605,7.5781,4.7423,169.7747,1.6994,7.0934,7.4572,5.7602,124.0071,1.6992,5.826,9.5881,6.7176,176.3361,1.7079,8.1849,9.4885,7.7549,119.368,-7.936018818,-0.120418579,-11.40542648,-0.12590123
MD-38_optimized,1.7124,7.5411,14.642,12.7475,157.6565,1.7112,7.1635,16.4285,14.541,168.7054,1.6991,7.1791,10.5793,8.7929,161.3018,1.6994,11.4473,6.3842,3.8831,123.85,1.6992,7.9036,12.5709,10.7162,153.1973,1.7094,12.5049,8.2554,5.7716,121.7734,-7.408432959,-0.63629727,15.26417808,-0.241962547
